PLANE	DESCRIPTION	START	END	STARTDEC	ENDDEC	BLOCK	POINTS	ASSIGNED	SCRIPTS
0	Basic Multilingual Plane	HX  0F00	HX  0FFF	3840	4095	Tibetan 	256	211	Tibetan (207 characters), Common (4 characters)
0	Basic Multilingual Plane	HX  1000	HX  109F	4096	4255	Myanmar 	160	160	Myanmar
0	Basic Multilingual Plane	HX  10A0	HX  10FF	4256	4351	Georgian 	96	88	Georgian (87 characters), Common (1 character)
0	Basic Multilingual Plane	HX  1100	HX  11FF	4352	4607	Hangul Jamo 	256	256	Hangul
0	Basic Multilingual Plane	HX  1200	HX  137F	4608	4991	Ethiopic 	384	358	Ethiopic
0	Basic Multilingual Plane	HX  1380	HX  139F	4992	5023	Ethiopic Supplement 	32	26	Ethiopic
0	Basic Multilingual Plane	HX  13A0	HX  13FF	5024	5119	Cherokee 	96	92	Cherokee
0	Basic Multilingual Plane	HX  1400	HX  167F	5120	5759	Unified Canadian Aboriginal Syllabics 	640	640	Canadian Aboriginal
0	Basic Multilingual Plane	HX  1680	HX  169F	5760	5791	Ogham 	32	29	Ogham
0	Basic Multilingual Plane	HX  16A0	HX  16FF	5792	5887	Runic 	96	89	Runic (86 characters), Common (3 characters)
0	Basic Multilingual Plane	HX  1700	HX  171F	5888	5919	Tagalog 	32	20	Tagalog
0	Basic Multilingual Plane	HX  1720	HX  173F	5920	5951	Hanunoo 	32	23	Hanunoo (21 characters), Common (2 characters)
0	Basic Multilingual Plane	HX  1740	HX  175F	5952	5983	Buhid 	32	20	Buhid
0	Basic Multilingual Plane	HX  1760	HX  177F	5984	6015	Tagbanwa 	32	18	Tagbanwa
0	Basic Multilingual Plane	HX  1780	HX  17FF	6016	6143	Khmer 	128	114	Khmer
0	Basic Multilingual Plane	HX  1800	HX  18AF	6144	6319	Mongolian 	176	156	Mongolian (153 characters), Common (3 characters)
0	Basic Multilingual Plane	HX  18B0	HX  18FF	6320	6399	Unified Canadian Aboriginal Syllabics Extended 	80	70	Canadian Aboriginal
0	Basic Multilingual Plane	HX  1900	HX  194F	6400	6479	Limbu 	80	68	Limbu
0	Basic Multilingual Plane	HX  1950	HX  197F	6480	6527	Tai Le 	48	35	Tai Le
