BIBLE	INDEX	BOOK	CHAPTER	VERSE	TOTAL	COMBINE	END
Holy-Bible---Chinese---Chinese-Sigao-Bible	019	PSA	008	001	9	1	end
Holy-Bible---Chinese---Chinese-Sigao-Bible	019	PSA	009	001	20	1	end
Holy-Bible---Chinese---Chinese-Sigao-Bible	019	PSA	012	001	8	1	end
Holy-Bible---Chinese---Chinese-Sigao-Bible	019	PSA	018	001	50	1	end
Holy-Bible---Chinese---Chinese-Sigao-Bible	019	PSA	019	001	14	1	end
Holy-Bible---Chinese---Chinese-Sigao-Bible	019	PSA	020	001	9	1	end
Holy-Bible---Chinese---Chinese-Sigao-Bible	019	PSA	021	001	13	1	end
Holy-Bible---Chinese---Chinese-Sigao-Bible	019	PSA	022	001	31	1	end
Holy-Bible---Chinese---Chinese-Sigao-Bible	019	PSA	030	001	12	1	end
Holy-Bible---Chinese---Chinese-Sigao-Bible	019	PSA	031	001	24	1	end
Holy-Bible---Chinese---Chinese-Sigao-Bible	019	PSA	034	001	22	1	end
Holy-Bible---Chinese---Chinese-Sigao-Bible	019	PSA	036	001	12	1	end
Holy-Bible---Chinese---Chinese-Sigao-Bible	019	PSA	038	001	22	1	end
Holy-Bible---Chinese---Chinese-Sigao-Bible	019	PSA	039	001	13	1	end
Holy-Bible---Chinese---Chinese-Sigao-Bible	019	PSA	040	001	17	1	end
Holy-Bible---Chinese---Chinese-Sigao-Bible	019	PSA	041	001	13	1	end
Holy-Bible---Chinese---Chinese-Sigao-Bible	019	PSA	042	001	11	1	end
Holy-Bible---Chinese---Chinese-Sigao-Bible	019	PSA	044	001	26	1	end
Holy-Bible---Chinese---Chinese-Sigao-Bible	019	PSA	045	001	17	1	end
Holy-Bible---Chinese---Chinese-Sigao-Bible	019	PSA	046	001	11	1	end
Holy-Bible---Chinese---Chinese-Sigao-Bible	019	PSA	047	001	9	1	end
Holy-Bible---Chinese---Chinese-Sigao-Bible	019	PSA	048	001	14	1	end
Holy-Bible---Chinese---Chinese-Sigao-Bible	019	PSA	049	001	20	1	end
Holy-Bible---Chinese---Chinese-Sigao-Bible	019	PSA	051	001	19	2	end
Holy-Bible---Chinese---Chinese-Sigao-Bible	019	PSA	052	001	9	2	end
Holy-Bible---Chinese---Chinese-Sigao-Bible	019	PSA	053	001	6	1	end
Holy-Bible---Chinese---Chinese-Sigao-Bible	019	PSA	054	001	7	2	end
Holy-Bible---Chinese---Chinese-Sigao-Bible	019	PSA	055	001	23	1	end
Holy-Bible---Chinese---Chinese-Sigao-Bible	019	PSA	056	001	13	1	end
Holy-Bible---Chinese---Chinese-Sigao-Bible	019	PSA	057	001	11	1	end
Holy-Bible---Chinese---Chinese-Sigao-Bible	019	PSA	058	001	11	1	end
Holy-Bible---Chinese---Chinese-Sigao-Bible	019	PSA	059	001	17	1	end
Holy-Bible---Chinese---Chinese-Sigao-Bible	019	PSA	060	001	12	2	end
Holy-Bible---Chinese---Chinese-Sigao-Bible	019	PSA	061	001	8	1	end
Holy-Bible---Chinese---Chinese-Sigao-Bible	019	PSA	062	001	12	1	end
Holy-Bible---Chinese---Chinese-Sigao-Bible	019	PSA	063	001	11	1	end
Holy-Bible---Chinese---Chinese-Sigao-Bible	019	PSA	064	001	10	1	end
Holy-Bible---Chinese---Chinese-Sigao-Bible	019	PSA	065	001	13	1	end
Holy-Bible---Chinese---Chinese-Sigao-Bible	019	PSA	067	001	7	1	end
Holy-Bible---Chinese---Chinese-Sigao-Bible	019	PSA	068	001	35	1	end
Holy-Bible---Chinese---Chinese-Sigao-Bible	019	PSA	069	001	36	1	end
Holy-Bible---Chinese---Chinese-Sigao-Bible	019	PSA	070	001	5	1	end
Holy-Bible---Chinese---Chinese-Sigao-Bible	019	PSA	075	001	10	1	end
Holy-Bible---Chinese---Chinese-Sigao-Bible	019	PSA	076	001	12	1	end
