BIBLE	INDEX	BOOK	CHAPTER	VERSE	TOTAL	COMBINE	END
Holy-Bible---English---STEPBible-Amalgamant							end
Holy-Bible---English---STEPBible-Concordant							end
Holy-Bible---English---Syriac-Peshitta-Etheridge							end
Holy-Bible---English---Syriac-Peshitta-Murdock							end
Holy-Bible---English---Text-Critical	064	3JO	001	014	14	1	end
Holy-Bible---English---Text-Critical							end
Holy-Bible---English---Trans-Trans	064	3JO	001	014	14	1	end
Holy-Bible---English---Trans-Trans	066	REV	012	018	1	-1	end
Holy-Bible---English---Twentieth-Century-NT							end
Holy-Bible---English---Tyndale-Bible							end
Holy-Bible---English---Unlocked-Literal-Bible	064	3JO	001	014	14	1	end
Holy-Bible---English---Unlocked-Literal-Bible	066	REV	012	018	1	-1	end
Holy-Bible---English---Webster-Bible							end
Holy-Bible---English---Webster-Bible-Revised							end
Holy-Bible---English---Weymouth-NT	064	3JO	001	014	14	1	end
Holy-Bible---English---World-English-Bible							end
Holy-Bible---English---World-English-Bible-British-Edition							end
Holy-Bible---English---World-English-Bible-Updated							end
Holy-Bible---English---World-Messianic-Bible							end
Holy-Bible---English---World-Messianic-Bible-British-Edition							end
Holy-Bible---English---Worsley-Bible	064	3JO	001	014	14	1	end
Holy-Bible---English---Worsley-Bible							end
Holy-Bible---English---Wycliffe-Bible	004	NUM	020	028	29	1	end
Holy-Bible---English---Wycliffe-Bible	006	JOS	004	023	24	1	end
Holy-Bible---English---Wycliffe-Bible	006	JOS	005	014	15	1	end
Holy-Bible---English---Wycliffe-Bible	007	JDG	005	031	31	1	end
Holy-Bible---English---Wycliffe-Bible	011	1KI	022	043	53	1	end
Holy-Bible---English---Wycliffe-Bible	018	JOB	016	004	22	1	end
Holy-Bible---English---Wycliffe-Bible	019	PSA	002	012	12	1	end
Holy-Bible---English---Wycliffe-Bible	019	PSA	003	001	8	1	end
Holy-Bible---English---Wycliffe-Bible	019	PSA	004	001	8	1	end
Holy-Bible---English---Wycliffe-Bible	019	PSA	005	001	12	1	end
Holy-Bible---English---Wycliffe-Bible	019	PSA	006	001	10	1	end
Holy-Bible---English---Wycliffe-Bible	019	PSA	007	001	17	1	end
Holy-Bible---English---Wycliffe-Bible	019	PSA	008	001	9	1	end
Holy-Bible---English---Wycliffe-Bible	019	PSA	009	001	20	1	end
Holy-Bible---English---Wycliffe-Bible	019	PSA	011	001	7	1	end
Holy-Bible---English---Wycliffe-Bible	019	PSA	012	001	8	1	end
Holy-Bible---English---Wycliffe-Bible	019	PSA	018	001	50	1	end
Holy-Bible---English---Wycliffe-Bible	019	PSA	019	001	14	1	end
Holy-Bible---English---Wycliffe-Bible	019	PSA	020	001	9	1	end
Holy-Bible---English---Wycliffe-Bible	019	PSA	021	001	13	1	end
Holy-Bible---English---Wycliffe-Bible	019	PSA	022	001	31	1	end
Holy-Bible---English---Wycliffe-Bible	019	PSA	030	001	12	1	end
Holy-Bible---English---Wycliffe-Bible	019	PSA	031	001	24	1	end
Holy-Bible---English---Wycliffe-Bible	019	PSA	034	001	22	1	end
Holy-Bible---English---Wycliffe-Bible	019	PSA	036	001	12	1	end
Holy-Bible---English---Wycliffe-Bible	019	PSA	038	001	22	1	end
Holy-Bible---English---Wycliffe-Bible	019	PSA	039	001	13	1	end
Holy-Bible---English---Wycliffe-Bible	019	PSA	040	001	17	1	end
Holy-Bible---English---Wycliffe-Bible	019	PSA	041	001	13	1	end
Holy-Bible---English---Wycliffe-Bible	019	PSA	042	001	11	1	end
Holy-Bible---English---Wycliffe-Bible	019	PSA	044	001	26	1	end
Holy-Bible---English---Wycliffe-Bible	019	PSA	045	001	17	1	end
Holy-Bible---English---Wycliffe-Bible	019	PSA	046	001	11	1	end
Holy-Bible---English---Wycliffe-Bible	019	PSA	047	001	9	1	end
Holy-Bible---English---Wycliffe-Bible	019	PSA	048	001	14	1	end
Holy-Bible---English---Wycliffe-Bible	019	PSA	049	001	20	1	end
Holy-Bible---English---Wycliffe-Bible	019	PSA	051	001	19	2	end
Holy-Bible---English---Wycliffe-Bible	019	PSA	052	001	9	2	end
Holy-Bible---English---Wycliffe-Bible	019	PSA	053	001	6	1	end
Holy-Bible---English---Wycliffe-Bible	019	PSA	054	001	7	2	end
Holy-Bible---English---Wycliffe-Bible	019	PSA	055	001	23	1	end
Holy-Bible---English---Wycliffe-Bible	019	PSA	056	001	13	1	end
Holy-Bible---English---Wycliffe-Bible	019	PSA	057	001	11	1	end
Holy-Bible---English---Wycliffe-Bible	019	PSA	058	001	11	1	end
Holy-Bible---English---Wycliffe-Bible	019	PSA	059	001	17	1	end
Holy-Bible---English---Wycliffe-Bible	019	PSA	060	001	12	2	end
Holy-Bible---English---Wycliffe-Bible	019	PSA	061	001	8	1	end
Holy-Bible---English---Wycliffe-Bible	019	PSA	062	001	12	1	end
Holy-Bible---English---Wycliffe-Bible	019	PSA	063	001	11	1	end
Holy-Bible---English---Wycliffe-Bible	019	PSA	064	001	10	1	end
Holy-Bible---English---Wycliffe-Bible	019	PSA	065	001	13	1	end
Holy-Bible---English---Wycliffe-Bible	019	PSA	067	001	7	1	end
Holy-Bible---English---Wycliffe-Bible	019	PSA	068	001	35	1	end
Holy-Bible---English---Wycliffe-Bible	019	PSA	069	001	36	1	end
Holy-Bible---English---Wycliffe-Bible	019	PSA	070	001	5	1	end
Holy-Bible---English---Wycliffe-Bible	019	PSA	075	001	10	1	end
Holy-Bible---English---Wycliffe-Bible	019	PSA	076	001	12	1	end
Holy-Bible---English---Wycliffe-Bible	019	PSA	077	001	20	1	end
Holy-Bible---English---Wycliffe-Bible	019	PSA	080	001	19	1	end
Holy-Bible---English---Wycliffe-Bible	019	PSA	081	001	16	1	end
Holy-Bible---English---Wycliffe-Bible	019	PSA	083	001	18	1	end
Holy-Bible---English---Wycliffe-Bible	019	PSA	084	001	12	1	end
Holy-Bible---English---Wycliffe-Bible	019	PSA	085	001	13	1	end
Holy-Bible---English---Wycliffe-Bible	019	PSA	088	001	18	1	end
Holy-Bible---English---Wycliffe-Bible	019	PSA	089	001	52	1	end
Holy-Bible---English---Wycliffe-Bible	019	PSA	092	001	15	1	end
Holy-Bible---English---Wycliffe-Bible	019	PSA	102	001	28	1	end
Holy-Bible---English---Wycliffe-Bible	019	PSA	108	001	13	1	end
Holy-Bible---English---Wycliffe-Bible	019	PSA	140	001	13	1	end
Holy-Bible---English---Wycliffe-Bible	019	PSA	142	001	7	1	end
Holy-Bible---English---Wycliffe-Bible	028	HOS	002	023	23	1	end
Holy-Bible---English---Wycliffe-Bible	030	AMO	006	010	14	1	end
Holy-Bible---English---Wycliffe-Bible	043	JOH	006	051	71	1	end
Holy-Bible---English---Wycliffe-Bible	066	REV	012	018	1	-1	end
Holy-Bible---English---Wycliffe-Bible							end
Holy-Bible---English---Youngs-Literal-Translation							end
Holy-Bible---Esperanto---Esperanto-Bible							end
Holy-Bible---Estonian---Contemporary	064	3JO	001	014	14	1	end
Holy-Bible---Estonian---Contemporary							end
Holy-Bible---Estonian---For-All							end
Holy-Bible---Etulo---Etulo-Bible	064	3JO	001	014	14	1	end
Holy-Bible---Etulo---Etulo-Bible	066	REV	012	018	1	-1	end
Holy-Bible---Etulo---Etulo-Bible							end
Holy-Bible---Ewe---Word-of-Life	064	3JO	001	014	14	1	end
Holy-Bible---Ewe---Word-of-Life							end
Holy-Bible---Falam---Falam-Chin-Bible							end
Holy-Bible---Finnish---Finnish-Bible							end
Holy-Bible---Finnish---Finnish-Pyha-Raamattu							end
Holy-Bible---Finnish---Open-Living-News	064	3JO	001	014	14	1	end
Holy-Bible---Finnish---Open-Living-News	066	REV	012	018	1	-1	end
Holy-Bible---Finnish---Open-Living-News							end
Holy-Bible---Flemish---Flemish-De-Jonge-Bible	064	3JO	001	014	14	1	end
Holy-Bible---Flemish---Flemish-De-Jonge-Bible	066	REV	012	018	1	-1	end
Holy-Bible---French---Bonnet-Bovet-Bible	009	1SA	020	042	42	1	end
Holy-Bible---French---Bonnet-Bovet-Bible	011	1KI	022	043	53	1	end
Holy-Bible---French---Bonnet-Bovet-Bible	019	PSA	003	001	8	1	end
Holy-Bible---French---Bonnet-Bovet-Bible	019	PSA	004	001	8	1	end
Holy-Bible---French---Bonnet-Bovet-Bible	019	PSA	005	001	12	1	end
Holy-Bible---French---Bonnet-Bovet-Bible	019	PSA	006	001	10	1	end
Holy-Bible---French---Bonnet-Bovet-Bible	019	PSA	007	001	17	1	end
Holy-Bible---French---Bonnet-Bovet-Bible	019	PSA	008	001	9	1	end
Holy-Bible---French---Bonnet-Bovet-Bible	019	PSA	009	001	20	1	end
Holy-Bible---French---Bonnet-Bovet-Bible	019	PSA	012	001	8	1	end
Holy-Bible---French---Bonnet-Bovet-Bible	019	PSA	018	001	50	1	end
Holy-Bible---French---Bonnet-Bovet-Bible	019	PSA	019	001	14	1	end
Holy-Bible---French---Bonnet-Bovet-Bible	019	PSA	020	001	9	1	end
Holy-Bible---French---Bonnet-Bovet-Bible	019	PSA	021	001	13	1	end
Holy-Bible---French---Bonnet-Bovet-Bible	019	PSA	022	001	31	1	end
Holy-Bible---French---Bonnet-Bovet-Bible	019	PSA	030	001	12	1	end
Holy-Bible---French---Bonnet-Bovet-Bible	019	PSA	031	001	24	1	end
Holy-Bible---French---Bonnet-Bovet-Bible	019	PSA	034	001	22	1	end
Holy-Bible---French---Bonnet-Bovet-Bible	019	PSA	036	001	12	1	end
Holy-Bible---French---Bonnet-Bovet-Bible	019	PSA	038	001	22	1	end
Holy-Bible---French---Bonnet-Bovet-Bible	019	PSA	039	001	13	1	end
Holy-Bible---French---Bonnet-Bovet-Bible	019	PSA	040	001	17	1	end
Holy-Bible---French---Bonnet-Bovet-Bible	019	PSA	041	001	13	1	end
Holy-Bible---French---Bonnet-Bovet-Bible	019	PSA	042	001	11	1	end
Holy-Bible---French---Bonnet-Bovet-Bible	019	PSA	044	001	26	1	end
Holy-Bible---French---Bonnet-Bovet-Bible	019	PSA	045	001	17	1	end
Holy-Bible---French---Bonnet-Bovet-Bible	019	PSA	046	001	11	1	end
Holy-Bible---French---Bonnet-Bovet-Bible	019	PSA	047	001	9	1	end
Holy-Bible---French---Bonnet-Bovet-Bible	019	PSA	048	001	14	1	end
Holy-Bible---French---Bonnet-Bovet-Bible	019	PSA	049	001	20	1	end
Holy-Bible---French---Bonnet-Bovet-Bible	019	PSA	051	001	19	2	end
Holy-Bible---French---Bonnet-Bovet-Bible	019	PSA	052	001	9	2	end
Holy-Bible---French---Bonnet-Bovet-Bible	019	PSA	053	001	6	1	end
Holy-Bible---French---Bonnet-Bovet-Bible	019	PSA	054	001	7	2	end
Holy-Bible---French---Bonnet-Bovet-Bible	019	PSA	055	001	23	1	end
Holy-Bible---French---Bonnet-Bovet-Bible	019	PSA	056	001	13	1	end
Holy-Bible---French---Bonnet-Bovet-Bible	019	PSA	057	001	11	1	end
Holy-Bible---French---Bonnet-Bovet-Bible	019	PSA	058	001	11	1	end
Holy-Bible---French---Bonnet-Bovet-Bible	019	PSA	059	001	17	1	end
Holy-Bible---French---Bonnet-Bovet-Bible	019	PSA	060	001	12	2	end
Holy-Bible---French---Bonnet-Bovet-Bible	019	PSA	061	001	8	1	end
Holy-Bible---French---Bonnet-Bovet-Bible	019	PSA	062	001	12	1	end
Holy-Bible---French---Bonnet-Bovet-Bible	019	PSA	063	001	11	1	end
Holy-Bible---French---Bonnet-Bovet-Bible	019	PSA	064	001	10	1	end
Holy-Bible---French---Bonnet-Bovet-Bible	019	PSA	065	001	13	1	end
Holy-Bible---French---Bonnet-Bovet-Bible	019	PSA	067	001	7	1	end
Holy-Bible---French---Bonnet-Bovet-Bible	019	PSA	068	001	35	1	end
Holy-Bible---French---Bonnet-Bovet-Bible	019	PSA	069	001	36	1	end
Holy-Bible---French---Bonnet-Bovet-Bible	019	PSA	070	001	5	1	end
Holy-Bible---French---Bonnet-Bovet-Bible	019	PSA	075	001	10	1	end
Holy-Bible---French---Bonnet-Bovet-Bible	019	PSA	076	001	12	1	end
Holy-Bible---French---Bonnet-Bovet-Bible	019	PSA	077	001	20	1	end
Holy-Bible---French---Bonnet-Bovet-Bible	019	PSA	080	001	19	1	end
Holy-Bible---French---Bonnet-Bovet-Bible	019	PSA	081	001	16	1	end
Holy-Bible---French---Bonnet-Bovet-Bible	019	PSA	083	001	18	1	end
Holy-Bible---French---Bonnet-Bovet-Bible	019	PSA	084	001	12	1	end
Holy-Bible---French---Bonnet-Bovet-Bible	019	PSA	085	001	13	1	end
Holy-Bible---French---Bonnet-Bovet-Bible	019	PSA	088	001	18	1	end
Holy-Bible---French---Bonnet-Bovet-Bible	019	PSA	089	001	52	1	end
Holy-Bible---French---Bonnet-Bovet-Bible	019	PSA	092	001	15	1	end
Holy-Bible---French---Bonnet-Bovet-Bible	019	PSA	102	001	28	1	end
Holy-Bible---French---Bonnet-Bovet-Bible	019	PSA	108	001	13	1	end
Holy-Bible---French---Bonnet-Bovet-Bible	019	PSA	140	001	13	1	end
Holy-Bible---French---Bonnet-Bovet-Bible	019	PSA	142	001	7	1	end
Holy-Bible---French---Bonnet-Bovet-Bible	041	MAR	010	052	52	1	end
Holy-Bible---French---Bonnet-Bovet-Bible	064	3JO	001	014	14	1	end
Holy-Bible---French---Bonnet-Bovet-Bible	066	REV	012	018	1	-1	end
Holy-Bible---French---Bonnet-Bovet-Bible							end
Holy-Bible---French---Free-for-the-World							end
Holy-Bible---French---French-Crampon-Bible	007	JDG	005	031	31	1	end
Holy-Bible---French---French-Crampon-Bible	009	1SA	002	001	36	1	end
Holy-Bible---French---French-Crampon-Bible	009	1SA	020	042	42	1	end
Holy-Bible---French---French-Crampon-Bible	011	1KI	022	043	53	1	end
Holy-Bible---French---French-Crampon-Bible	013	1CH	012	004	40	1	end
Holy-Bible---French---French-Crampon-Bible	019	PSA	003	001	8	1	end
Holy-Bible---French---French-Crampon-Bible	019	PSA	004	001	8	1	end
Holy-Bible---French---French-Crampon-Bible	019	PSA	005	001	12	1	end
Holy-Bible---French---French-Crampon-Bible	019	PSA	006	001	10	1	end
Holy-Bible---French---French-Crampon-Bible	019	PSA	007	001	17	1	end
Holy-Bible---French---French-Crampon-Bible	019	PSA	008	001	9	1	end
Holy-Bible---French---French-Crampon-Bible	019	PSA	009	001	20	1	end
Holy-Bible---French---French-Crampon-Bible	019	PSA	012	001	8	1	end
Holy-Bible---French---French-Crampon-Bible	019	PSA	018	001	50	1	end
Holy-Bible---French---French-Crampon-Bible	019	PSA	019	001	14	1	end
Holy-Bible---French---French-Crampon-Bible	019	PSA	020	001	9	1	end
Holy-Bible---French---French-Crampon-Bible	019	PSA	021	001	13	1	end
Holy-Bible---French---French-Crampon-Bible	019	PSA	022	001	31	1	end
Holy-Bible---French---French-Crampon-Bible	019	PSA	030	001	12	1	end
Holy-Bible---French---French-Crampon-Bible	019	PSA	031	001	24	1	end
Holy-Bible---French---French-Crampon-Bible	019	PSA	034	001	22	1	end
Holy-Bible---French---French-Crampon-Bible	019	PSA	036	001	12	1	end
Holy-Bible---French---French-Crampon-Bible	019	PSA	038	001	22	1	end
Holy-Bible---French---French-Crampon-Bible	019	PSA	039	001	13	1	end
Holy-Bible---French---French-Crampon-Bible	019	PSA	040	001	17	1	end
Holy-Bible---French---French-Crampon-Bible	019	PSA	041	001	13	1	end
Holy-Bible---French---French-Crampon-Bible	019	PSA	042	001	11	1	end
Holy-Bible---French---French-Crampon-Bible	019	PSA	044	001	26	1	end
Holy-Bible---French---French-Crampon-Bible	019	PSA	045	001	17	1	end
Holy-Bible---French---French-Crampon-Bible	019	PSA	046	001	11	1	end
Holy-Bible---French---French-Crampon-Bible	019	PSA	047	001	9	1	end
Holy-Bible---French---French-Crampon-Bible	019	PSA	048	001	14	1	end
Holy-Bible---French---French-Crampon-Bible	019	PSA	049	001	20	1	end
Holy-Bible---French---French-Crampon-Bible	019	PSA	051	001	19	2	end
Holy-Bible---French---French-Crampon-Bible	019	PSA	052	001	9	2	end
Holy-Bible---French---French-Crampon-Bible	019	PSA	053	001	6	1	end
Holy-Bible---French---French-Crampon-Bible	019	PSA	054	001	7	2	end
Holy-Bible---French---French-Crampon-Bible	019	PSA	055	001	23	1	end
Holy-Bible---French---French-Crampon-Bible	019	PSA	056	001	13	1	end
Holy-Bible---French---French-Crampon-Bible	019	PSA	057	001	11	1	end
Holy-Bible---French---French-Crampon-Bible	019	PSA	058	001	11	1	end
Holy-Bible---French---French-Crampon-Bible	019	PSA	059	001	17	1	end
Holy-Bible---French---French-Crampon-Bible	019	PSA	060	001	12	2	end
Holy-Bible---French---French-Crampon-Bible	019	PSA	061	001	8	1	end
Holy-Bible---French---French-Crampon-Bible	019	PSA	062	001	12	1	end
Holy-Bible---French---French-Crampon-Bible	019	PSA	063	001	11	1	end
Holy-Bible---French---French-Crampon-Bible	019	PSA	064	001	10	1	end
Holy-Bible---French---French-Crampon-Bible	019	PSA	065	001	13	1	end
Holy-Bible---French---French-Crampon-Bible	019	PSA	067	001	7	1	end
Holy-Bible---French---French-Crampon-Bible	019	PSA	068	001	35	1	end
Holy-Bible---French---French-Crampon-Bible	019	PSA	069	001	36	1	end
Holy-Bible---French---French-Crampon-Bible	019	PSA	070	001	5	1	end
Holy-Bible---French---French-Crampon-Bible	019	PSA	075	001	10	1	end
Holy-Bible---French---French-Crampon-Bible	019	PSA	076	001	12	1	end
Holy-Bible---French---French-Crampon-Bible	019	PSA	077	001	20	1	end
Holy-Bible---French---French-Crampon-Bible	019	PSA	080	001	19	1	end
Holy-Bible---French---French-Crampon-Bible	019	PSA	081	001	16	1	end
Holy-Bible---French---French-Crampon-Bible	019	PSA	083	001	18	1	end
Holy-Bible---French---French-Crampon-Bible	019	PSA	084	001	12	1	end
Holy-Bible---French---French-Crampon-Bible	019	PSA	085	001	13	1	end
Holy-Bible---French---French-Crampon-Bible	019	PSA	088	001	18	1	end
Holy-Bible---French---French-Crampon-Bible	019	PSA	089	001	52	1	end
Holy-Bible---French---French-Crampon-Bible	019	PSA	092	001	15	1	end
Holy-Bible---French---French-Crampon-Bible	019	PSA	102	001	28	1	end
Holy-Bible---French---French-Crampon-Bible	019	PSA	108	001	13	1	end
Holy-Bible---French---French-Crampon-Bible	019	PSA	140	001	13	1	end
Holy-Bible---French---French-Crampon-Bible	019	PSA	142	001	7	1	end
Holy-Bible---French---French-Crampon-Bible	064	3JO	001	014	14	1	end
Holy-Bible---French---French-Crampon-Bible	066	REV	012	018	1	-1	end
Holy-Bible---French---French-Crampon-Bible							end
Holy-Bible---French---French-Crampon-Bible-New	004	NUM	025	019	1	-1	end
Holy-Bible---French---French-Crampon-Bible-New	007	JDG	005	031	31	1	end
Holy-Bible---French---French-Crampon-Bible-New	009	1SA	020	042	42	1	end
Holy-Bible---French---French-Crampon-Bible-New	011	1KI	022	043	53	1	end
Holy-Bible---French---French-Crampon-Bible-New	019	PSA	003	001	8	1	end
Holy-Bible---French---French-Crampon-Bible-New	019	PSA	004	001	8	1	end
Holy-Bible---French---French-Crampon-Bible-New	019	PSA	005	001	12	1	end
Holy-Bible---French---French-Crampon-Bible-New	019	PSA	006	001	10	1	end
Holy-Bible---French---French-Crampon-Bible-New	019	PSA	007	001	17	1	end
Holy-Bible---French---French-Crampon-Bible-New	019	PSA	008	001	9	1	end
Holy-Bible---French---French-Crampon-Bible-New	019	PSA	009	001	20	1	end
Holy-Bible---French---French-Crampon-Bible-New	019	PSA	012	001	8	1	end
Holy-Bible---French---French-Crampon-Bible-New	019	PSA	018	001	50	1	end
Holy-Bible---French---French-Crampon-Bible-New	019	PSA	019	001	14	1	end
Holy-Bible---French---French-Crampon-Bible-New	019	PSA	020	001	9	1	end
Holy-Bible---French---French-Crampon-Bible-New	019	PSA	021	001	13	1	end
Holy-Bible---French---French-Crampon-Bible-New	019	PSA	022	001	31	1	end
Holy-Bible---French---French-Crampon-Bible-New	019	PSA	030	001	12	1	end
Holy-Bible---French---French-Crampon-Bible-New	019	PSA	031	001	24	1	end
Holy-Bible---French---French-Crampon-Bible-New	019	PSA	034	001	22	1	end
Holy-Bible---French---French-Crampon-Bible-New	019	PSA	036	001	12	1	end
Holy-Bible---French---French-Crampon-Bible-New	019	PSA	038	001	22	1	end
Holy-Bible---French---French-Crampon-Bible-New	019	PSA	039	001	13	1	end
Holy-Bible---French---French-Crampon-Bible-New	019	PSA	040	001	17	1	end
Holy-Bible---French---French-Crampon-Bible-New	019	PSA	041	001	13	1	end
Holy-Bible---French---French-Crampon-Bible-New	019	PSA	042	001	11	1	end
Holy-Bible---French---French-Crampon-Bible-New	019	PSA	044	001	26	1	end
Holy-Bible---French---French-Crampon-Bible-New	019	PSA	045	001	17	1	end
Holy-Bible---French---French-Crampon-Bible-New	019	PSA	046	001	11	1	end
Holy-Bible---French---French-Crampon-Bible-New	019	PSA	047	001	9	1	end
Holy-Bible---French---French-Crampon-Bible-New	019	PSA	048	001	14	1	end
Holy-Bible---French---French-Crampon-Bible-New	019	PSA	049	001	20	1	end
Holy-Bible---French---French-Crampon-Bible-New	019	PSA	051	001	19	2	end
Holy-Bible---French---French-Crampon-Bible-New	019	PSA	052	001	9	2	end
Holy-Bible---French---French-Crampon-Bible-New	019	PSA	053	001	6	1	end
Holy-Bible---French---French-Crampon-Bible-New	019	PSA	054	001	7	2	end
Holy-Bible---French---French-Crampon-Bible-New	019	PSA	055	001	23	1	end
Holy-Bible---French---French-Crampon-Bible-New	019	PSA	056	001	13	1	end
Holy-Bible---French---French-Crampon-Bible-New	019	PSA	057	001	11	1	end
Holy-Bible---French---French-Crampon-Bible-New	019	PSA	058	001	11	1	end
Holy-Bible---French---French-Crampon-Bible-New	019	PSA	059	001	17	1	end
Holy-Bible---French---French-Crampon-Bible-New	019	PSA	060	001	12	2	end
Holy-Bible---French---French-Crampon-Bible-New	019	PSA	061	001	8	1	end
Holy-Bible---French---French-Crampon-Bible-New	019	PSA	062	001	12	1	end
Holy-Bible---French---French-Crampon-Bible-New	019	PSA	063	001	11	1	end
Holy-Bible---French---French-Crampon-Bible-New	019	PSA	064	001	10	1	end
Holy-Bible---French---French-Crampon-Bible-New	019	PSA	065	001	13	1	end
Holy-Bible---French---French-Crampon-Bible-New	019	PSA	067	001	7	1	end
Holy-Bible---French---French-Crampon-Bible-New	019	PSA	068	001	35	1	end
Holy-Bible---French---French-Crampon-Bible-New	019	PSA	069	001	36	1	end
Holy-Bible---French---French-Crampon-Bible-New	019	PSA	070	001	5	1	end
Holy-Bible---French---French-Crampon-Bible-New	019	PSA	075	001	10	1	end
Holy-Bible---French---French-Crampon-Bible-New	019	PSA	076	001	12	1	end
Holy-Bible---French---French-Crampon-Bible-New	019	PSA	077	001	20	1	end
Holy-Bible---French---French-Crampon-Bible-New	019	PSA	080	001	19	1	end
Holy-Bible---French---French-Crampon-Bible-New	019	PSA	081	001	16	1	end
Holy-Bible---French---French-Crampon-Bible-New	019	PSA	083	001	18	1	end
Holy-Bible---French---French-Crampon-Bible-New	019	PSA	084	001	12	1	end
Holy-Bible---French---French-Crampon-Bible-New	019	PSA	085	001	13	1	end
Holy-Bible---French---French-Crampon-Bible-New	019	PSA	088	001	18	1	end
Holy-Bible---French---French-Crampon-Bible-New	019	PSA	089	001	52	1	end
Holy-Bible---French---French-Crampon-Bible-New	019	PSA	092	001	15	1	end
Holy-Bible---French---French-Crampon-Bible-New	019	PSA	101	001	8	1	end
Holy-Bible---French---French-Crampon-Bible-New	019	PSA	102	001	28	1	end
Holy-Bible---French---French-Crampon-Bible-New	019	PSA	108	001	13	1	end
Holy-Bible---French---French-Crampon-Bible-New	019	PSA	140	001	13	1	end
Holy-Bible---French---French-Crampon-Bible-New	019	PSA	142	001	7	1	end
Holy-Bible---French---French-Crampon-Bible-New	064	3JO	001	014	14	1	end
Holy-Bible---French---French-Crampon-Bible-New	066	REV	012	018	1	-1	end
Holy-Bible---French---French-Crampon-Bible-New							end
Holy-Bible---French---French-Darby-Bible	009	1SA	020	042	42	1	end
Holy-Bible---French---French-Darby-Bible	011	1KI	022	043	53	1	end
Holy-Bible---French---French-Darby-Bible	013	1CH	012	004	40	1	end
Holy-Bible---French---French-Darby-Bible	019	PSA	003	001	8	1	end
Holy-Bible---French---French-Darby-Bible	019	PSA	004	001	8	1	end
Holy-Bible---French---French-Darby-Bible	019	PSA	005	001	12	1	end
Holy-Bible---French---French-Darby-Bible	019	PSA	006	001	10	1	end
Holy-Bible---French---French-Darby-Bible	019	PSA	007	001	17	1	end
Holy-Bible---French---French-Darby-Bible	019	PSA	008	001	9	1	end
Holy-Bible---French---French-Darby-Bible	019	PSA	009	001	20	1	end
Holy-Bible---French---French-Darby-Bible	019	PSA	012	001	8	1	end
Holy-Bible---French---French-Darby-Bible	019	PSA	018	001	50	1	end
Holy-Bible---French---French-Darby-Bible	019	PSA	019	001	14	1	end
Holy-Bible---French---French-Darby-Bible	019	PSA	020	001	9	1	end
Holy-Bible---French---French-Darby-Bible	019	PSA	021	001	13	1	end
Holy-Bible---French---French-Darby-Bible	019	PSA	022	001	31	1	end
Holy-Bible---French---French-Darby-Bible	019	PSA	030	001	12	1	end
Holy-Bible---French---French-Darby-Bible	019	PSA	031	001	24	1	end
Holy-Bible---French---French-Darby-Bible	019	PSA	034	001	22	1	end
Holy-Bible---French---French-Darby-Bible	019	PSA	036	001	12	1	end
Holy-Bible---French---French-Darby-Bible	019	PSA	038	001	22	1	end
Holy-Bible---French---French-Darby-Bible	019	PSA	039	001	13	1	end
Holy-Bible---French---French-Darby-Bible	019	PSA	040	001	17	1	end
Holy-Bible---French---French-Darby-Bible	019	PSA	041	001	13	1	end
Holy-Bible---French---French-Darby-Bible	019	PSA	042	001	11	1	end
Holy-Bible---French---French-Darby-Bible	019	PSA	044	001	26	1	end
Holy-Bible---French---French-Darby-Bible	019	PSA	045	001	17	1	end
Holy-Bible---French---French-Darby-Bible	019	PSA	046	001	11	1	end
Holy-Bible---French---French-Darby-Bible	019	PSA	047	001	9	1	end
Holy-Bible---French---French-Darby-Bible	019	PSA	048	001	14	1	end
Holy-Bible---French---French-Darby-Bible	019	PSA	049	001	20	1	end
Holy-Bible---French---French-Darby-Bible	019	PSA	051	001	19	2	end
Holy-Bible---French---French-Darby-Bible	019	PSA	052	001	9	2	end
Holy-Bible---French---French-Darby-Bible	019	PSA	053	001	6	1	end
Holy-Bible---French---French-Darby-Bible	019	PSA	054	001	7	2	end
Holy-Bible---French---French-Darby-Bible	019	PSA	055	001	23	1	end
Holy-Bible---French---French-Darby-Bible	019	PSA	056	001	13	1	end
Holy-Bible---French---French-Darby-Bible	019	PSA	057	001	11	1	end
Holy-Bible---French---French-Darby-Bible	019	PSA	058	001	11	1	end
Holy-Bible---French---French-Darby-Bible	019	PSA	059	001	17	1	end
Holy-Bible---French---French-Darby-Bible	019	PSA	060	001	12	2	end
Holy-Bible---French---French-Darby-Bible	019	PSA	061	001	8	1	end
Holy-Bible---French---French-Darby-Bible	019	PSA	062	001	12	1	end
Holy-Bible---French---French-Darby-Bible	019	PSA	063	001	11	1	end
Holy-Bible---French---French-Darby-Bible	019	PSA	064	001	10	1	end
Holy-Bible---French---French-Darby-Bible	019	PSA	065	001	13	1	end
Holy-Bible---French---French-Darby-Bible	019	PSA	067	001	7	1	end
Holy-Bible---French---French-Darby-Bible	019	PSA	068	001	35	1	end
Holy-Bible---French---French-Darby-Bible	019	PSA	069	001	36	1	end
Holy-Bible---French---French-Darby-Bible	019	PSA	070	001	5	1	end
Holy-Bible---French---French-Darby-Bible	019	PSA	075	001	10	1	end
Holy-Bible---French---French-Darby-Bible	019	PSA	076	001	12	1	end
Holy-Bible---French---French-Darby-Bible	019	PSA	077	001	20	1	end
Holy-Bible---French---French-Darby-Bible	019	PSA	080	001	19	1	end
