FILE	FLAG	POST	VALUE	SOURCE	DESTINATION
Holy-Bible---Chin-Matu---Matupi-Chin-2019				https://ebible.org/sword/zip/hltmcsb2019eb.zip	Holy-Bible---Chin-Matu---Matupi-Chin-2019---Source-Edition.SWORD.zip
Holy-Bible---Chin-Matu---Matupi-Chin-2019				https://ebible.org/Scriptures/hltmcsb_vpl.zip	Holy-Bible---Chin-Matu---Matupi-Chin-2019---Source-Edition.VPL.zip
Holy-Bible---Chin-Matu---Matupi-Chin-Bible				https://ebible.org/epub/hlt.epub	Holy-Bible---Chin-Matu---Matupi-Chin-Bible---Source-Edition.epub
Holy-Bible---Chin-Matu---Matupi-Chin-Bible				https://ebible.org/pdf/hlt/hlt_all.pdf	Holy-Bible---Chin-Matu---Matupi-Chin-Bible---Source-Edition.pdf
Holy-Bible---Chin-Matu---Matupi-Chin-Bible				https://ebible.org/sword/zip/hlt2018eb.zip	Holy-Bible---Chin-Matu---Matupi-Chin-Bible---Source-Edition.SWORD.zip
Holy-Bible---Chin-Matu---Matupi-Chin-Bible				https://ebible.org/Scriptures/hlt_vpl.zip	Holy-Bible---Chin-Matu---Matupi-Chin-Bible---Source-Edition.VPL.zip
Holy-Bible---Chin-Matu---Tuivang-Matu-Chin-Bible				https://ebible.org/epub/hltthb.epub	Holy-Bible---Chin-Matu---Tuivang-Matu-Chin-Bible---Source-Edition.epub
Holy-Bible---Chin-Matu---Tuivang-Matu-Chin-Bible				https://ebible.org/pdf/hltthb/hltthb_all.pdf	Holy-Bible---Chin-Matu---Tuivang-Matu-Chin-Bible---Source-Edition.pdf
Holy-Bible---Chin-Matu---Tuivang-Matu-Chin-Bible				https://eBible.org/sword/zip/hltthb2020eb.zip	Holy-Bible---Chin-Matu---Tuivang-Matu-Chin-Bible---Source-Edition.SWORD.zip
Holy-Bible---Chin-Matu---Tuivang-Matu-Chin-Bible				https://ebible.org/Scriptures/hltthb_vpl.zip	Holy-Bible---Chin-Matu---Tuivang-Matu-Chin-Bible---Source-Edition.VPL.zip
Holy-Bible---Chin-Siyin---Siyin-Chin-Bible				https://ebible.org/epub/csy.epub	Holy-Bible---Chin-Siyin---Siyin-Chin-Bible---Source-Edition.epub
Holy-Bible---Chin-Siyin---Siyin-Chin-Bible				https://ebible.org/pdf/csy/csy_all.pdf	Holy-Bible---Chin-Siyin---Siyin-Chin-Bible---Source-Edition.pdf
Holy-Bible---Chin-Siyin---Siyin-Chin-Bible				https://eBible.org/sword/zip/csy2020eb.zip	Holy-Bible---Chin-Siyin---Siyin-Chin-Bible---Source-Edition.SWORD.zip
Holy-Bible---Chin-Siyin---Siyin-Chin-Bible				https://ebible.org/Scriptures/csy_vpl.zip	Holy-Bible---Chin-Siyin---Siyin-Chin-Bible---Source-Edition.VPL.zip
Holy-Bible---Chin-Thado---Chongthu-Bible				https://ebible.org/epub/tczchongthu.epub	Holy-Bible---Chin-Thado---Chongthu-Bible---Source-Edition.epub
Holy-Bible---Chin-Thado---Chongthu-Bible				https://ebible.org/pdf/tczchongthu/tczchongthu_all.pdf	Holy-Bible---Chin-Thado---Chongthu-Bible---Source-Edition.pdf
Holy-Bible---Chin-Thado---Chongthu-Bible				https://eBible.org/sword/zip/tczchongthu2020eb.zip	Holy-Bible---Chin-Thado---Chongthu-Bible---Source-Edition.SWORD.zip
Holy-Bible---Chin-Thado---Chongthu-Bible				https://ebible.org/Scriptures/tczchongthu_vpl.zip	Holy-Bible---Chin-Thado---Chongthu-Bible---Source-Edition.VPL.zip
Holy-Bible---Chin-Thaiphum---Thai-Phum-Bible				https://ebible.org/epub/cth.epub	Holy-Bible---Chin-Thaiphum---Thai-Phum-Bible---Source-Edition.epub
Holy-Bible---Chin-Thaiphum---Thai-Phum-Bible				https://ebible.org/pdf/cth/cth_all.pdf	Holy-Bible---Chin-Thaiphum---Thai-Phum-Bible---Source-Edition.pdf
Holy-Bible---Chin-Thaiphum---Thai-Phum-Bible				https://ebible.org/sword/zip/cth2020eb.zip	Holy-Bible---Chin-Thaiphum---Thai-Phum-Bible---Source-Edition.SWORD.zip
Holy-Bible---Chin-Thaiphum---Thai-Phum-Bible				https://ebible.org/Scriptures/cth_vpl.zip	Holy-Bible---Chin-Thaiphum---Thai-Phum-Bible---Source-Edition.VPL.zip
Holy-Bible---Chiyawo---Yao				https://ebible.org/epub/yao.epub	Holy-Bible---Chiyawo---Yao---Source-Edition.epub
Holy-Bible---Chiyawo---Yao				https://ebible.org/pdf/yao/yao_all.pdf	Holy-Bible---Chiyawo---Yao---Source-Edition.pdf
Holy-Bible---Chiyawo---Yao				https://ebible.org/sword/zip/yao2018eb.zip	Holy-Bible---Chiyawo---Yao---Source-Edition.SWORD.zip
Holy-Bible---Chiyawo---Yao				https://ebible.org/Scriptures/yao_vpl.zip	Holy-Bible---Chiyawo---Yao---Source-Edition.VPL.zip
Holy-Bible---Cishingini---Cishingini-Bible				https://ebible.org/epub/asg.epub	Holy-Bible---Cishingini---Cishingini-Bible---Source-Edition.epub
Holy-Bible---Cishingini---Cishingini-Bible				https://ebible.org/pdf/asg/asg_prt.pdf	Holy-Bible---Cishingini---Cishingini-Bible---Source-Edition.pdf
Holy-Bible---Cishingini---Cishingini-Bible				https://ebible.org/sword/zip/asg2025eb.zip	Holy-Bible---Cishingini---Cishingini-Bible---Source-Edition.SWORD.zip
