BIBLE	MAP
Holy-Bible---Chinese---Chinese-Sigao-Bible	HOS13-14
Holy-Bible---Chinese---Chinese-Sigao-Bible	JOE3-4
Holy-Bible---Chinese---Chinese-Sigao-Bible	JON1-2
Holy-Bible---Chinese---Chinese-Sigao-Bible	MIC4-5
Holy-Bible---Chinese---Chinese-Sigao-Bible	NAH1-2
Holy-Bible---Chinese---Chinese-Sigao-Bible	ZEC1-2
Holy-Bible---Chinese---Chinese-Sigao-Bible	MAL3-4
Holy-Bible---Chinese---Chinese-Union-Version-Simplified	NONE
Holy-Bible---Chinese---Chinese-Union-Version-Traditional	NONE
Holy-Bible---Chinese---Mandarin-Bible-Simplified	NONE
Holy-Bible---Chinese---Mandarin-Bible-Traditional	NONE
Holy-Bible---Chin-Matu---Matupi-Chin-2019	NONE
Holy-Bible---Chin-Matu---Matupi-Chin-Bible	NONE
Holy-Bible---Chin-Matu---Tuivang-Matu-Chin-Bible	NONE
Holy-Bible---Chin-Siyin---Siyin-Chin-Bible	NONE
Holy-Bible---Chin-Thado---Chongthu-Bible	NONE
Holy-Bible---Chin-Thaiphum---Thai-Phum-Bible	NONE
Holy-Bible---Chiyawo---Yao	NONE
Holy-Bible---Cishingini---Cishingini-Bible	NONE
Holy-Bible---Coptic---Coptic-Boharic-NT	NONE
Holy-Bible---Coptic---Coptic-NT	NONE
Holy-Bible---Coptic---Sahidic-Bible	NONE
Holy-Bible---Coptic---Sahidic-Coptic-Horner	NONE
Holy-Bible---Croatian---Croatian-Bible	GEN31-32
Holy-Bible---Croatian---Croatian-Bible	EXO7-8
Holy-Bible---Croatian---Croatian-Bible	EXO21-22
Holy-Bible---Croatian---Croatian-Bible	LEV5-6
Holy-Bible---Croatian---Croatian-Bible	NUM16-17
Holy-Bible---Croatian---Croatian-Bible	NUM29-30
Holy-Bible---Croatian---Croatian-Bible	DEU12-13
Holy-Bible---Croatian---Croatian-Bible	DEU22-23
Holy-Bible---Croatian---Croatian-Bible	DEU28-29
Holy-Bible---Croatian---Croatian-Bible	1SA20-21
Holy-Bible---Croatian---Croatian-Bible	1SA23-24
Holy-Bible---Croatian---Croatian-Bible	2SA18-19
Holy-Bible---Croatian---Croatian-Bible	1KI4-5
Holy-Bible---Croatian---Croatian-Bible	2KI11-12
Holy-Bible---Croatian---Croatian-Bible	1CH5-6
Holy-Bible---Croatian---Croatian-Bible	2CH1-2
Holy-Bible---Croatian---Croatian-Bible	2CH13-14
Holy-Bible---Croatian---Croatian-Bible	NEH3-4
Holy-Bible---Croatian---Croatian-Bible	NEH7
Holy-Bible---Croatian---Croatian-Bible	NEH9-10
Holy-Bible---Croatian---Croatian-Bible	JOB40-41
Holy-Bible---Croatian---Croatian-Bible	ECC4-5
Holy-Bible---Croatian---Croatian-Bible	SOL6-7
Holy-Bible---Croatian---Croatian-Bible	ISA63-64
Holy-Bible---Croatian---Croatian-Bible	JER8-9
Holy-Bible---Croatian---Croatian-Bible	EZE20-21
Holy-Bible---Croatian---Croatian-Bible	DAN100
Holy-Bible---Croatian---Croatian-Bible	DAN5-6
Holy-Bible---Croatian---Croatian-Bible	HOS1-2
Holy-Bible---Croatian---Croatian-Bible	HOS11-12
Holy-Bible---Croatian---Croatian-Bible	HOS13-14
Holy-Bible---Croatian---Croatian-Bible	JOE3-4
Holy-Bible---Croatian---Croatian-Bible	JON1-2
Holy-Bible---Croatian---Croatian-Bible	MIC4-5
Holy-Bible---Croatian---Croatian-Bible	NAH1-2
Holy-Bible---Croatian---Croatian-Bible	ZEC1-2
Holy-Bible---Croatian---Croatian-Bible	MAL3-4
Holy-Bible---Croatian---Croatian-Open-Bible	NONE
Holy-Bible---Cung---Chung-Bible	NONE
Holy-Bible---Czech---Czech-Bible-Kralicka	NONE
Holy-Bible---Czech---Kralicka	NUM12-13
Holy-Bible---Czech---Kralicka	NUM29-30
Holy-Bible---Czech---Kralicka	1SA23-24
Holy-Bible---Czech---Kralicka	JOB36-37
Holy-Bible---Czech---Kralicka	JOB39-40-41-42
Holy-Bible---Czech---Kralicka	SOL5-6
Holy-Bible---Czech---Kralicka	DAN3-4
Holy-Bible---Czech---Kralicka	JON1-2
Holy-Bible---Czech---Kralicka	HAG1-2
Holy-Bible---Czech---Living-Bible	NONE
Holy-Bible---Danish---Danish-1871-1907	GEN42-43
Holy-Bible---Danish---Danish-1871-1907	LEV5-6
Holy-Bible---Danish---Danish-1871-1907	NUM29-30
Holy-Bible---Danish---Danish-1871-1907	1SA23-24
Holy-Bible---Danish---Danish-1871-1907	JOB38-39-40-41
Holy-Bible---Danish---Danish-1871-1907	ECC4-5
Holy-Bible---Danish---Danish-1871-1907	ISA63-64
Holy-Bible---Danish---Danish-1871-1907	DAN5-6
Holy-Bible---Danish---Danish-1871-1907	HOS11-12
Holy-Bible---Danish---Danish-1871-1907	HOS13-14
Holy-Bible---Danish---Danish-1871-1907	JOE2-3
Holy-Bible---Danish---Danish-1871-1907	JON1-2
Holy-Bible---Danish---Danish-1871-1907	MIC4-5
Holy-Bible---Danish---Danish-1871-1907	NAH1-2
Holy-Bible---Danish---Danish-1871-1907	ZEC1-2
Holy-Bible---Danish---Danish-1931-1907	GEN42-43
Holy-Bible---Danish---Danish-1931-1907	LEV5-6
Holy-Bible---Danish---Danish-1931-1907	NUM29-30
Holy-Bible---Danish---Danish-1931-1907	1SA23-24
Holy-Bible---Danish---Danish-1931-1907	JOB38-39-40-41
Holy-Bible---Danish---Danish-1931-1907	ECC4-5
Holy-Bible---Danish---Danish-1931-1907	ISA63-64
Holy-Bible---Danish---Danish-1931-1907	DAN5-6
Holy-Bible---Danish---Danish-1931-1907	HOS11-12
Holy-Bible---Danish---Danish-1931-1907	HOS13-14
Holy-Bible---Danish---Danish-1931-1907	JOE2-3
Holy-Bible---Danish---Danish-1931-1907	JON1-2
Holy-Bible---Danish---Danish-1931-1907	MIC4-5
Holy-Bible---Danish---Danish-1931-1907	NAH1-2
Holy-Bible---Danish---Danish-1931-1907	ZEC1-2
Holy-Bible---Danish---Danish-Bible	NONE
Holy-Bible---Dawro---Dawuro-Bible	NONE
Holy-Bible---Desiya---Desiya-Bible	NONE
Holy-Bible---Dhanki---Dhanki-Devanagari-Bible	NONE
Holy-Bible---Dholuo---Dholuo-Bible	NONE
Holy-Bible---Dombe---Dombe-Bible	NONE
Holy-Bible---Dongxiang---Donxian-Bible	NONE
Holy-Bible---Dutch---Canisiusvertaling	GEN49
Holy-Bible---Dutch---Canisiusvertaling	EXO40
Holy-Bible---Dutch---Canisiusvertaling	NUM12-13
Holy-Bible---Dutch---Canisiusvertaling	JOS21
Holy-Bible---Dutch---Canisiusvertaling	EST8
Holy-Bible---Dutch---Canisiusvertaling	PRO5
Holy-Bible---Dutch---Canisiusvertaling	JOB39-40-41-42
Holy-Bible---Dutch---Canisiusvertaling	PSA150
Holy-Bible---Dutch---Canisiusvertaling	SOL1
Holy-Bible---Dutch---Canisiusvertaling	DAN100
Holy-Bible---Dutch---Canisiusvertaling	HAG1-2
Holy-Bible---Dutch---Canisiusvertaling	PRO2
Holy-Bible---Dutch---Canisiusvertaling	MAR8-9
Holy-Bible---Dutch---Leuvense-Bible	NUM12-13
