INDEX	BOOK	CHAPTER	VERSE	INDEX2	BOOK2	CHAPTER2	VERSE2	NOTE
048	GAL	003	029	048	GAL	004	001	
048	GAL	004	001	048	GAL	004	002	
048	GAL	004	002	048	GAL	004	003	
048	GAL	004	003	048	GAL	004	004	
048	GAL	004	004	048	GAL	004	005	
048	GAL	004	005	048	GAL	004	006	
048	GAL	004	006	048	GAL	004	007	
048	GAL	004	007	048	GAL	004	008	
048	GAL	004	008	048	GAL	004	009	
048	GAL	004	009	048	GAL	004	010	
048	GAL	004	010	048	GAL	004	011	
048	GAL	004	011	048	GAL	004	012	
048	GAL	004	012	048	GAL	004	013	
048	GAL	004	013	048	GAL	004	014	
048	GAL	004	014	048	GAL	004	015	
048	GAL	004	015	048	GAL	004	016	
048	GAL	004	016	048	GAL	004	017	
048	GAL	004	017	048	GAL	004	018	
048	GAL	004	018	048	GAL	004	019	
048	GAL	004	019	048	GAL	004	020	
048	GAL	004	020	048	GAL	004	021	
048	GAL	004	021	048	GAL	004	022	
048	GAL	004	022	048	GAL	004	023	
048	GAL	004	023	048	GAL	004	024	
048	GAL	004	024	048	GAL	004	025	
048	GAL	004	025	048	GAL	004	026	
048	GAL	004	026	048	GAL	004	027	
048	GAL	004	027	048	GAL	004	028	
048	GAL	004	028	048	GAL	004	029	
048	GAL	004	029	048	GAL	004	030	
048	GAL	004	030	048	GAL	004	031	
048	GAL	004	031	048	GAL	005	001	
048	GAL	005	001	048	GAL	005	002	
048	GAL	005	002	048	GAL	005	003	
048	GAL	005	003	048	GAL	005	004	
048	GAL	005	004	048	GAL	005	005	
048	GAL	005	005	048	GAL	005	006	
048	GAL	005	006	048	GAL	005	007	
048	GAL	005	007	048	GAL	005	008	
048	GAL	005	008	048	GAL	005	009	
048	GAL	005	009	048	GAL	005	010	
048	GAL	005	010	048	GAL	005	011	
048	GAL	005	011	048	GAL	005	012	
048	GAL	005	012	048	GAL	005	013	
048	GAL	005	013	048	GAL	005	014	
048	GAL	005	014	048	GAL	005	015	
048	GAL	005	015	048	GAL	005	016	
048	GAL	005	016	048	GAL	005	017	
048	GAL	005	017	048	GAL	005	018	
048	GAL	005	018	048	GAL	005	019	
048	GAL	005	019	048	GAL	005	020	
048	GAL	005	020	048	GAL	005	021	
048	GAL	005	021	048	GAL	005	022	
048	GAL	005	022	048	GAL	005	023	
048	GAL	005	023	048	GAL	005	024	
048	GAL	005	024	048	GAL	005	025	
048	GAL	005	025	048	GAL	005	026	
048	GAL	005	026	048	GAL	006	001	
048	GAL	006	001	048	GAL	006	002	
048	GAL	006	002	048	GAL	006	003	
048	GAL	006	003	048	GAL	006	004	
048	GAL	006	004	048	GAL	006	005	
048	GAL	006	005	048	GAL	006	006	
048	GAL	006	006	048	GAL	006	007	
048	GAL	006	007	048	GAL	006	008	
048	GAL	006	008	048	GAL	006	009	
048	GAL	006	009	048	GAL	006	010	
048	GAL	006	010	048	GAL	006	011	
048	GAL	006	011	048	GAL	006	012	
048	GAL	006	012	048	GAL	006	013	
048	GAL	006	013	048	GAL	006	014	
048	GAL	006	014	048	GAL	006	015	
048	GAL	006	015	048	GAL	006	016	
048	GAL	006	016	048	GAL	006	017	
048	GAL	006	017	048	GAL	006	018	
048	GAL	006	018	049	EPH	001	001	
049	EPH	001	001	049	EPH	001	002	
049	EPH	001	002	049	EPH	001	003	
049	EPH	001	003	049	EPH	001	004	
049	EPH	001	004	049	EPH	001	005	
049	EPH	001	005	049	EPH	001	006	
049	EPH	001	006	049	EPH	001	007	
049	EPH	001	007	049	EPH	001	008	
049	EPH	001	008	049	EPH	001	009	
049	EPH	001	009	049	EPH	001	010	
049	EPH	001	010	049	EPH	001	011	
049	EPH	001	011	049	EPH	001	012	
049	EPH	001	012	049	EPH	001	013	
049	EPH	001	013	049	EPH	001	014	
049	EPH	001	014	049	EPH	001	015	
049	EPH	001	015	049	EPH	001	016	
049	EPH	001	016	049	EPH	001	017	
049	EPH	001	017	049	EPH	001	018	
049	EPH	001	018	049	EPH	001	019	
049	EPH	001	019	049	EPH	001	020	
049	EPH	001	020	049	EPH	001	021	
049	EPH	001	021	049	EPH	001	022	
049	EPH	001	022	049	EPH	001	023	
049	EPH	001	023	049	EPH	002	001	
049	EPH	002	001	049	EPH	002	002	
049	EPH	002	002	049	EPH	002	003	
049	EPH	002	003	049	EPH	002	004	
049	EPH	002	004	049	EPH	002	005	
049	EPH	002	005	049	EPH	002	006	
049	EPH	002	006	049	EPH	002	007	
049	EPH	002	007	049	EPH	002	008	
049	EPH	002	008	049	EPH	002	009	
049	EPH	002	009	049	EPH	002	010	
049	EPH	002	010	049	EPH	002	011	
049	EPH	002	011	049	EPH	002	012	
049	EPH	002	012	049	EPH	002	013	
049	EPH	002	013	049	EPH	002	014	
049	EPH	002	014	049	EPH	002	015	
049	EPH	002	015	049	EPH	002	016	
049	EPH	002	016	049	EPH	002	017	
049	EPH	002	017	049	EPH	002	018	
049	EPH	002	018	049	EPH	002	019	
049	EPH	002	019	049	EPH	002	020	
049	EPH	002	020	049	EPH	002	021	
049	EPH	002	021	049	EPH	002	022	
049	EPH	002	022	049	EPH	003	001	
049	EPH	003	001	049	EPH	003	002	
049	EPH	003	002	049	EPH	003	003	
049	EPH	003	003	049	EPH	003	004	
049	EPH	003	004	049	EPH	003	005	
049	EPH	003	005	049	EPH	003	006	
049	EPH	003	006	049	EPH	003	007	
049	EPH	003	007	049	EPH	003	008	
049	EPH	003	008	049	EPH	003	009	
049	EPH	003	009	049	EPH	003	010	
049	EPH	003	010	049	EPH	003	011	
049	EPH	003	011	049	EPH	003	012	
049	EPH	003	012	049	EPH	003	013	
049	EPH	003	013	049	EPH	003	014	
049	EPH	003	014	049	EPH	003	015	
049	EPH	003	015	049	EPH	003	016	
049	EPH	003	016	049	EPH	003	017	
049	EPH	003	017	049	EPH	003	018	
049	EPH	003	018	049	EPH	003	019	
049	EPH	003	019	049	EPH	003	020	
049	EPH	003	020	049	EPH	003	021	
049	EPH	003	021	049	EPH	004	001	
049	EPH	004	001	049	EPH	004	002	
049	EPH	004	002	049	EPH	004	003	
049	EPH	004	003	049	EPH	004	004	
049	EPH	004	004	049	EPH	004	005	
049	EPH	004	005	049	EPH	004	006	
049	EPH	004	006	049	EPH	004	007	
049	EPH	004	007	049	EPH	004	008	
049	EPH	004	008	049	EPH	004	009	
049	EPH	004	009	049	EPH	004	010	
049	EPH	004	010	049	EPH	004	011	
049	EPH	004	011	049	EPH	004	012	
049	EPH	004	012	049	EPH	004	013	
049	EPH	004	013	049	EPH	004	014	
049	EPH	004	014	049	EPH	004	015	
049	EPH	004	015	049	EPH	004	016	
049	EPH	004	016	049	EPH	004	017	
049	EPH	004	017	049	EPH	004	018	
049	EPH	004	018	049	EPH	004	019	
049	EPH	004	019	049	EPH	004	020	
