BIBLE	INDEX	BOOK	CHAPTER	VERSE	WORD	STRONGS	UNTRANS	TEXT
Holy-Bible---Cebuano---Cebuano-Open-Bible	019	PSA	018	005	SKIP			NULL
Holy-Bible---Cebuano---Cebuano-Open-Bible	020	PRO	023	013	SHEOL	h7585		NULL
Holy-Bible---Cebuano---Cebuano-Open-Bible	020	PRO	023	014	SKIP			NULL
Holy-Bible---Cebuano---Cebuano-Open-Bible	042	LUK	001	054	AIONS	g165		NULL
Holy-Bible---Cebuano---Cebuano-Open-Bible	042	LUK	001	055	SKIP			NULL
Holy-Bible---Cebuano---Cebuano-Open-Bible	058	HEB	009	011	AIONIAN	g166		NULL
Holy-Bible---Cebuano---Cebuano-Open-Bible	058	HEB	009	012	SKIP			NULL
Holy-Bible---Cebuano---Cebuano-Open-Bible	066	REV	020	015	SKIP			NULL
Holy-Bible---Cebuano---Cebuano-Open-Bible								NULL
Holy-Bible---Cebuano---Cebuano-Philippine								NULL
Holy-Bible---Chamorro---Chamorro-Gospels-Acts-and-Psalms	061	2PE	002	017	NOTE			questioned
Holy-Bible---Chamorro---Chamorro-Gospels-Acts-and-Psalms								NULL
Holy-Bible---Cherokee---Cherokee-New-Testament	061	2PE	002	017	NOTE			questioned
Holy-Bible---Cherokee---Cherokee-New-Testament								NULL
Holy-Bible---Chhattisgarhi---Chhattisgarhi-Bible								NULL
Holy-Bible---Chichewa---Chichewa-Bible								NULL
Holy-Bible---Chin-Daai---Daai-Chin-Bible	051	COL	001	025	AIONS	g165		NULL
Holy-Bible---Chin-Daai---Daai-Chin-Bible	051	COL	001	026	SKIP			NULL
Holy-Bible---Chin-Daai---Daai-Chin-Bible	058	HEB	013	020	AIONS,AIONIAN	g165,g166		NULL
Holy-Bible---Chin-Daai---Daai-Chin-Bible	058	HEB	013	021	SKIP			NULL
Holy-Bible---Chin-Daai---Daai-Chin-Bible	061	2PE	002	017	NOTE			questioned
Holy-Bible---Chin-Daai---Daai-Chin-Bible								NULL
Holy-Bible---Chin-Eastern-Khumi---Asang-Khongca-Bible	061	2PE	002	017	NOTE			questioned
Holy-Bible---Chin-Eastern-Khumi---Asang-Khongca-Bible								NULL
Holy-Bible---Chinese---Chinese-Easy-to-Read	042	LUK	001	054	AIONS	g165		NULL
Holy-Bible---Chinese---Chinese-Easy-to-Read	042	LUK	001	055	SKIP			NULL
Holy-Bible---Chinese---Chinese-Easy-to-Read	061	2PE	002	017	NOTE			questioned
Holy-Bible---Chinese---Chinese-Easy-to-Read								NULL
Holy-Bible---Chinese---Chinese-Sigao-Bible	061	2PE	002	017	NOTE			questioned
Holy-Bible---Chinese---Chinese-Sigao-Bible								NULL
Holy-Bible---Chinese---Chinese-Union-Version-Simplified								NULL
Holy-Bible---Chinese---Chinese-Union-Version-Traditional	061	2PE	002	017	NOTE			questioned
Holy-Bible---Chinese---Chinese-Union-Version-Traditional								NULL
Holy-Bible---Chinese---Mandarin-Bible-Simplified	065	JUD	001	024	AIONS	g165		NULL
Holy-Bible---Chinese---Mandarin-Bible-Simplified	065	JUD	001	025	SKIP			NULL
Holy-Bible---Chinese---Mandarin-Bible-Simplified								NULL
Holy-Bible---Chinese---Mandarin-Bible-Traditional	065	JUD	001	024	AIONS	g165		NULL
Holy-Bible---Chinese---Mandarin-Bible-Traditional	065	JUD	001	025	SKIP			NULL
Holy-Bible---Chinese---Mandarin-Bible-Traditional								NULL
Holy-Bible---Chin-Matu---Matupi-Chin-2019	061	2PE	002	017	NOTE			questioned
Holy-Bible---Chin-Matu---Matupi-Chin-2019								NULL
Holy-Bible---Chin-Matu---Matupi-Chin-Bible	061	2PE	002	017	NOTE			questioned
Holy-Bible---Chin-Matu---Matupi-Chin-Bible								NULL
Holy-Bible---Chin-Matu---Tuivang-Matu-Chin-Bible	061	2PE	002	017	NOTE			questioned
Holy-Bible---Chin-Matu---Tuivang-Matu-Chin-Bible								NULL
Holy-Bible---Chin-Siyin---Siyin-Chin-Bible	061	2PE	002	017	NOTE			questioned
Holy-Bible---Chin-Siyin---Siyin-Chin-Bible								NULL
Holy-Bible---Chin-Thado---Chongthu-Bible	061	2PE	002	017	NOTE			questioned
Holy-Bible---Chin-Thado---Chongthu-Bible								NULL
Holy-Bible---Chin-Thaiphum---Thai-Phum-Bible	061	2PE	002	017	NOTE			questioned
Holy-Bible---Chin-Thaiphum---Thai-Phum-Bible								NULL
Holy-Bible---Chiyawo---Yao	061	2PE	002	017	NOTE			questioned
Holy-Bible---Chiyawo---Yao								NULL
Holy-Bible---Cishingini---Cishingini-Bible								NULL
Holy-Bible---Coptic---Coptic-Boharic-NT	061	2PE	002	017	NOTE			questioned
Holy-Bible---Coptic---Coptic-Boharic-NT								NULL
Holy-Bible---Coptic---Coptic-NT	061	2PE	002	017	NOTE			questioned
Holy-Bible---Coptic---Coptic-NT								NULL
Holy-Bible---Coptic---Sahidic-Bible	061	2PE	002	017	NOTE			questioned
Holy-Bible---Coptic---Sahidic-Bible								NULL
Holy-Bible---Coptic---Sahidic-Coptic-Horner	061	2PE	002	017	NOTE			questioned
Holy-Bible---Coptic---Sahidic-Coptic-Horner								NULL
Holy-Bible---Croatian---Croatian-Bible								NULL
Holy-Bible---Croatian---Croatian-Open-Bible								NULL
Holy-Bible---Cung---Chung-Bible	042	LUK	001	054	AIONS	g165		NULL
Holy-Bible---Cung---Chung-Bible	042	LUK	001	055	SKIP			NULL
Holy-Bible---Cung---Chung-Bible								NULL
Holy-Bible---Czech---Czech-Bible-Kralicka	061	2PE	002	017	NOTE			questioned
Holy-Bible---Czech---Czech-Bible-Kralicka								NULL
Holy-Bible---Czech---Kralicka	061	2PE	002	017	NOTE			questioned
Holy-Bible---Czech---Kralicka								NULL
Holy-Bible---Czech---Living-Bible	043	JOH	021	009	SKIP			NULL
Holy-Bible---Czech---Living-Bible	061	2PE	002	017	NOTE			questioned
Holy-Bible---Czech---Living-Bible								NULL
Holy-Bible---Danish---Danish-1871-1907								NULL
Holy-Bible---Danish---Danish-1931-1907								NULL
Holy-Bible---Danish---Danish-Bible								NULL
Holy-Bible---Dawro---Dawuro-Bible	001	GEN	044	030	SHEOL	h7585		NULL
Holy-Bible---Dawro---Dawuro-Bible	001	GEN	044	031	SKIP			NULL
Holy-Bible---Dawro---Dawuro-Bible	043	JOH	003	014	AIONIAN	g166		NULL
Holy-Bible---Dawro---Dawuro-Bible	043	JOH	003	015	SKIP			NULL
Holy-Bible---Dawro---Dawuro-Bible	044	ACT	015	015	AIONS	g165		NULL
Holy-Bible---Dawro---Dawuro-Bible	044	ACT	015	018	SKIP			NULL
Holy-Bible---Dawro---Dawuro-Bible	049	EPH	003	020	AIONS	g165		NULL
Holy-Bible---Dawro---Dawuro-Bible	049	EPH	003	021	SKIP			NULL
Holy-Bible---Dawro---Dawuro-Bible	056	TIT	003	006	AIONIAN	g166		NULL
Holy-Bible---Dawro---Dawuro-Bible	056	TIT	003	007	SKIP			NULL
Holy-Bible---Dawro---Dawuro-Bible	058	HEB	006	001	AIONIAN	g166		NULL
Holy-Bible---Dawro---Dawuro-Bible	058	HEB	006	002	SKIP			NULL
Holy-Bible---Dawro---Dawuro-Bible	058	HEB	006	004	AIONS	g165		NULL
Holy-Bible---Dawro---Dawuro-Bible	058	HEB	006	005	SKIP			NULL
Holy-Bible---Dawro---Dawuro-Bible	063	2JO	001	001	AIONS	g165		NULL
Holy-Bible---Dawro---Dawuro-Bible	063	2JO	001	002	SKIP			NULL
Holy-Bible---Dawro---Dawuro-Bible	065	JUD	001	024	AIONS	g165		NULL
Holy-Bible---Dawro---Dawuro-Bible	065	JUD	001	025	SKIP			NULL
Holy-Bible---Dawro---Dawuro-Bible								NULL
Holy-Bible---Desiya---Desiya-Bible	061	2PE	002	017	NOTE			questioned
Holy-Bible---Desiya---Desiya-Bible								NULL
Holy-Bible---Dhanki---Dhanki-Devanagari-Bible								NULL
Holy-Bible---Dholuo---Dholuo-Bible	061	2PE	002	017	NOTE			questioned
Holy-Bible---Dholuo---Dholuo-Bible								NULL
Holy-Bible---Dombe---Dombe-Bible	061	2PE	002	017	NOTE			questioned
Holy-Bible---Dombe---Dombe-Bible								NULL
Holy-Bible---Dongxiang---Donxian-Bible	058	HEB	006	001	AIONIAN	g166		NULL
Holy-Bible---Dongxiang---Donxian-Bible	058	HEB	006	002	SKIP			NULL
Holy-Bible---Dongxiang---Donxian-Bible								NULL
Holy-Bible---Dutch---Canisiusvertaling								NULL
Holy-Bible---Dutch---Leuvense-Bible	066	REV	020	009	LOF	g3041 g4442		NULL
Holy-Bible---Dutch---Leuvense-Bible	066	REV	020	010	AIONS	g165		NULL
Holy-Bible---Dutch---Leuvense-Bible								NULL
Holy-Bible---Dutch---Schrift	061	2PE	002	017	NOTE			questioned
Holy-Bible---Dutch---Schrift								NULL
Holy-Bible---Dutch---Statenvertaling	061	2PE	002	017	NOTE			questioned
Holy-Bible---Dutch---Statenvertaling								NULL
Holy-Bible---Duya---Duya-Bible								NULL
Holy-Bible---Ekajuk---Ekajuk-Bible								NULL
Holy-Bible---English---A-Conservative-Version	061	2PE	002	017	NOTE			questioned
Holy-Bible---English---A-Conservative-Version								NULL
Holy-Bible---English---Aionian-Bible	001	GEN	037	035	SWAP		SHEOL	All his sons and all his daughters rose up to comfort him, but he refused to be comforted.  He said, “For I will go down to Sheol (Sheol h7585) to my son, mourning.”  His father wept for him.
Holy-Bible---English---Aionian-Bible	001	GEN	042	038	SWAP		SHEOL	He said, “My son shall not go down with you; for his brother is dead, and he only is left.  If harm happens to him along the way in which you go, then you will bring down my gray hairs with sorrow to Sheol (Sheol h7585).”
Holy-Bible---English---Aionian-Bible	001	GEN	044	029	SWAP		SHEOL	If you take this one also from me, and harm happens to him, you will bring down my gray hairs with sorrow to Sheol (Sheol h7585).’
Holy-Bible---English---Aionian-Bible	001	GEN	044	031	SWAP		SHEOL	it will happen, when he sees that the boy is no more, that he will die.  Your servants will bring down the gray hairs of your servant, our father, with sorrow to Sheol (Sheol h7585).
Holy-Bible---English---Aionian-Bible	004	NUM	016	030	SWAP		SHEOL	But if the LORD makes a new thing, and the ground opens its mouth, and swallows them up with all that belong to them, and they go down alive into Sheol (Sheol h7585), then you shall understand that these men have despised the LORD.”
Holy-Bible---English---Aionian-Bible	004	NUM	016	033	SWAP		SHEOL	So they, and all that belonged to them went down alive into Sheol (Sheol h7585).  The earth closed on them, and they perished from among the assembly.
Holy-Bible---English---Aionian-Bible	005	DEU	032	022	SWAP		SHEOL	For a fire is kindled in my anger, that burns to the lowest Sheol (Sheol h7585), devours the earth with its increase, and sets the foundations of the mountains on fire.
Holy-Bible---English---Aionian-Bible	009	1SA	002	006	SWAP		SHEOL	“The LORD kills and makes alive.  He brings down to Sheol (Sheol h7585) and brings up.
Holy-Bible---English---Aionian-Bible	010	2SA	022	006	SWAP		SHEOL	The cords of Sheol (Sheol h7585) were around me.  The snares of death caught me.
Holy-Bible---English---Aionian-Bible	011	1KI	002	006	SWAP		SHEOL	Do therefore according to your wisdom, and do not let his gray head go down to Sheol (Sheol h7585) in peace.
Holy-Bible---English---Aionian-Bible	011	1KI	002	009	SWAP		SHEOL	Now therefore do not hold him guiltless, for you are a wise man; and you will know what you ought to do to him, and you shall bring his gray head down to Sheol (Sheol h7585) with blood.”
Holy-Bible---English---Aionian-Bible	018	JOB	007	009	SWAP		SHEOL	As the cloud is consumed and vanishes away, so he who goes down to Sheol (Sheol h7585) will come up no more.
Holy-Bible---English---Aionian-Bible	018	JOB	011	008	SWAP		SHEOL	They are high as heaven.  What can you do?  They are deeper than Sheol (Sheol h7585).  What can you know?
Holy-Bible---English---Aionian-Bible	018	JOB	014	013	SWAP		SHEOL	“Oh that you would hide me in Sheol (Sheol h7585), that you would keep me secret until your wrath is past, that you would appoint me a set time and remember me!
Holy-Bible---English---Aionian-Bible	018	JOB	017	013	SWAP		SHEOL	If I look for Sheol (Sheol h7585) as my house, if I have spread my couch in the darkness,
Holy-Bible---English---Aionian-Bible	018	JOB	017	016	SWAP		SHEOL	Shall it go down with me to the gates of Sheol (Sheol h7585), or descend together into the dust?”
Holy-Bible---English---Aionian-Bible	018	JOB	021	013	SWAP		SHEOL	They spend their days in prosperity.  In an instant they go down to Sheol (Sheol h7585).
Holy-Bible---English---Aionian-Bible	018	JOB	024	019	SWAP		SHEOL	Drought and heat consume the snow waters, so does Sheol (Sheol h7585) those who have sinned.
Holy-Bible---English---Aionian-Bible	018	JOB	026	006	SWAP		SHEOL	Sheol (Sheol h7585) is naked before God, and Abaddon has no covering.
Holy-Bible---English---Aionian-Bible	019	PSA	006	005	SWAP		SHEOL	For in death there is no memory of you.  In Sheol (Sheol h7585), who shall give you thanks?
Holy-Bible---English---Aionian-Bible	019	PSA	009	017	SWAP		SHEOL	The wicked shall be turned back to Sheol (Sheol h7585), even all the nations that forget God.
Holy-Bible---English---Aionian-Bible	019	PSA	016	010	SWAP		SHEOL	For you will not leave my soul in Sheol (Sheol h7585), neither will you allow your holy one to see corruption.
Holy-Bible---English---Aionian-Bible	019	PSA	018	005	SWAP		SHEOL	The cords of Sheol (Sheol h7585) were around me.  The snares of death came on me.
Holy-Bible---English---Aionian-Bible	019	PSA	030	003	SWAP		SHEOL	LORD, you have brought up my soul from Sheol (Sheol h7585).  You have kept me alive, that I should not go down to the pit.
Holy-Bible---English---Aionian-Bible	019	PSA	031	017	SWAP		SHEOL	Let me not be disappointed, LORD, for I have called on you.  Let the wicked be disappointed.  Let them be silent in Sheol (Sheol h7585).
Holy-Bible---English---Aionian-Bible	019	PSA	049	014	SWAP		SHEOL	They are appointed as a flock for Sheol (Sheol h7585).  Death shall be their shepherd.  The upright shall have dominion over them in the morning.  Their beauty shall decay in Sheol (Sheol h7585), far from their mansion.
Holy-Bible---English---Aionian-Bible	019	PSA	049	015	SWAP		SHEOL	But God will redeem my soul from the power of Sheol (Sheol h7585), for he will receive me. (Selah)
Holy-Bible---English---Aionian-Bible	019	PSA	055	015	SWAP		SHEOL	Let death come suddenly on them.  Let them go down alive into Sheol (Sheol h7585).  For wickedness is among them, in their dwelling.
Holy-Bible---English---Aionian-Bible	019	PSA	086	013	SWAP		SHEOL	For your loving kindness is great toward me.  You have delivered my soul from the lowest Sheol (Sheol h7585).
Holy-Bible---English---Aionian-Bible	019	PSA	088	003	SWAP		SHEOL	For my soul is full of troubles.  My life draws near to Sheol (Sheol h7585).
Holy-Bible---English---Aionian-Bible	019	PSA	089	048	SWAP		SHEOL	What man is he who shall live and not see death, who shall deliver his soul from the power of Sheol (Sheol h7585)? (Selah)
Holy-Bible---English---Aionian-Bible	019	PSA	116	003	SWAP		SHEOL	The cords of death surrounded me, the pains of Sheol (Sheol h7585) got a hold of me.  I found trouble and sorrow.
Holy-Bible---English---Aionian-Bible	019	PSA	139	008	SWAP		SHEOL	If I ascend up into heaven, you are there.  If I make my bed in Sheol (Sheol h7585), behold, you are there!
Holy-Bible---English---Aionian-Bible	019	PSA	141	007	SWAP		SHEOL	“As when one plows and breaks up the earth, our bones are scattered at the mouth of Sheol (Sheol h7585).”
Holy-Bible---English---Aionian-Bible	020	PRO	001	012	SWAP		SHEOL	Let’s swallow them up alive like Sheol (Sheol h7585), and whole, like those who go down into the pit.
Holy-Bible---English---Aionian-Bible	020	PRO	005	005	SWAP		SHEOL	Her feet go down to death.  Her steps lead straight to Sheol (Sheol h7585).
Holy-Bible---English---Aionian-Bible	020	PRO	007	027	SWAP		SHEOL	Her house is the way to Sheol (Sheol h7585), going down to the rooms of death.
Holy-Bible---English---Aionian-Bible	020	PRO	009	018	SWAP		SHEOL	But he does not know that the departed spirits are there, that her guests are in the depths of Sheol (Sheol h7585).
Holy-Bible---English---Aionian-Bible	020	PRO	015	011	SWAP		SHEOL	Sheol (Sheol h7585) and Abaddon are before the LORD— how much more then the hearts of the children of men!
Holy-Bible---English---Aionian-Bible	020	PRO	015	024	SWAP		SHEOL	The path of life leads upward for the wise, to keep him from going downward to Sheol (Sheol h7585).
Holy-Bible---English---Aionian-Bible	020	PRO	023	014	SWAP		SHEOL	Punish him with the rod, and save his soul from Sheol (Sheol h7585).
