# File Name: UNTRANSLATECOUNT.txt
# File Size: 53448       
# File Date: 01/01/2026 19:06:43
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution 4.0 International, 2018-2026
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
#
BIBLE	HELL_ALL	HELL_OUT	SHEOL	GEHENNA	ELEESE	HADES	ABYSS	TARTARUS	LOF	AION	AIONIAN	AION-2	AIDIOS	AION_OUT	CUSTOM	OUT	IN	VERSE_DO	VERSE_OK	VERSE_SK	VERSE_NO	VERSE_ER	VERSE_CK
Holy-Bible---Swahili---Swahili-Open-Bible	41	2	64	12	1	11	9	1	5	94	63	10	2	0	0	2	272	264	264	0	0	0	0
Holy-Bible---Swedish---Swedish-Bible	0	0	64	12	1	11	9	1	5	94	63	10	2	0	0	0	272	264	264	0	0	0	0
Holy-Bible---Swedish---Swedish-Bible-1703	0	0	22	12	1	11	9	1	5	87	52	10	1	0	0	0	211	203	203	0	50	11	0
Holy-Bible---Swedish---Swedish-Bible-1873	0	1	64	12	1	11	9	1	5	94	63	10	2	0	1	1	272	265	264	0	0	0	1
Holy-Bible---Swedish---Swedish-Bible-1917	0	0	64	12	1	11	9	1	5	94	63	10	2	0	0	0	272	264	264	0	0	0	0
Holy-Bible---Taabwa---Kitaabua-Bible	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	16	16	16	0	248	0	0
Holy-Bible---Tagakaulo---Tagakaulo-Bible	0	0	0	11	1	11	9	1	5	94	63	10	2	0	0	0	207	199	199	1	64	0	0
Holy-Bible---Tagalog---Tagalog-Bible-1905	0	0	64	12	1	11	9	1	5	94	63	10	2	0	0	0	272	264	264	0	0	0	0
Holy-Bible---Tagalog---Tagalog-Bible-Unlocked	0	0	64	12	1	11	9	1	5	94	63	10	2	0	0	0	272	264	264	0	0	0	0
Holy-Bible---Tagin---Tagin-First-Bible	0	0	0	12	1	11	9	1	5	94	63	10	2	0	1	0	208	201	200	0	64	0	1
Holy-Bible---Tamil---Open-Contemporary	0	2	64	12	1	11	9	1	5	94	63	10	2	0	1	2	272	265	264	0	0	0	1
Holy-Bible---Tamil---Tamil-Bible	0	0	64	12	1	11	9	1	5	94	62	10	2	0	22	0	271	275	264	0	0	0	11
Holy-Bible---Tarok---Tarok-Nigeria-Bible	0	0	9	1	1	3	1	0	0	54	37	0	2	0	0	0	108	108	108	0	156	0	0
Holy-Bible---Tavoyan---Tavoyan-Bible	0	0	0	12	1	11	9	1	5	94	63	10	2	0	0	0	208	200	200	0	64	0	0
Holy-Bible---Teke-Tyee---Teke-Tyee-Bible	0	0	0	12	1	11	9	1	5	94	63	10	2	0	0	0	208	200	200	0	64	0	0
Holy-Bible---Telugu---Telugu-Bible	0	1	64	12	1	11	9	1	5	94	62	10	2	0	4	1	271	266	264	0	0	0	2
Holy-Bible---Telugu---Telugu-Open-Contemporary	0	4	64	12	1	11	9	1	5	93	61	12	2	0	8	4	271	263	257	7	0	0	6
Holy-Bible---Tharu-Rana---Rana-Tharu-Bible	0	0	0	12	1	11	9	1	5	94	63	10	2	0	0	0	208	200	200	0	64	0	0
Holy-Bible---Thur---Leb-Thur-Bible	0	0	5	12	1	7	2	0	0	59	46	10	1	0	0	0	143	138	138	0	126	0	0
Holy-Bible---Tichurong---Tichurong-Bible	0	0	0	0	0	2	0	0	0	12	17	4	0	0	0	0	35	33	33	0	231	0	0
Holy-Bible---Tongan---Revised-West-Version	0	0	64	12	1	11	9	1	5	94	63	10	2	0	1	0	272	265	264	0	0	0	1
Holy-Bible---Tsakhur---Tsakhur-Bible	0	0	12	8	0	2	0	0	0	18	21	4	0	0	0	0	65	63	63	0	193	8	0
Holy-Bible---Tsikimba---Tsikimba-Bible	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	263	0	0
Holy-Bible---Tsishingini---Tsishingini-Bible	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	262	0	0
Holy-Bible---Turkish---Open-Basic-Turkish	0	0	0	12	1	11	9	1	5	94	63	10	2	0	0	0	208	200	200	0	64	0	0
Holy-Bible---Turkish---Turkish-Bible	0	0	64	12	1	11	9	1	5	94	63	10	2	0	0	0	272	264	264	0	0	0	0
Holy-Bible---Twi---Akuapem-Twi-Bible	0	2	64	12	1	11	9	1	5	94	63	10	2	0	1	2	272	265	264	0	0	0	1
Holy-Bible---Twi---Asante-Twi-WASNA	0	2	64	12	1	11	9	1	5	94	63	10	2	0	1	2	272	265	264	0	0	0	1
Holy-Bible---Ukrainian---New-Translation	0	0	15	12	1	11	9	1	5	94	63	10	2	0	0	0	223	215	215	0	49	0	0
Holy-Bible---Ukrainian---Ukrainian-Freedom-Bible	0	6	64	12	1	11	9	1	5	94	63	10	2	0	0	6	272	264	264	0	0	0	0
Holy-Bible---Ukrainian---Ukrainian-NT	0	1	0	12	1	11	9	1	5	94	63	10	2	0	1	1	208	201	200	0	64	0	1
Holy-Bible---Ukrainian---Ukrainian-Ogienko	0	4	64	12	1	11	9	1	5	94	63	10	2	0	0	4	272	264	264	0	0	0	0
Holy-Bible---Urdu---Urdu-Bible	0	0	64	12	1	11	9	1	5	94	63	10	2	0	0	0	272	264	264	0	0	0	0
Holy-Bible---Urdu---Urdu-Free-Contemporary	0	0	64	12	1	11	9	1	5	94	63	10	2	0	0	0	272	264	264	0	0	0	0
Holy-Bible---Ut-Ma-in---Ut-Ma-in-Bible	0	0	5	7	1	8	8	0	5	42	20	0	1	0	0	0	97	94	94	0	170	0	0
Holy-Bible---Uyghur---Uyghur-Bible-Arabic	0	0	64	12	1	11	9	1	5	94	63	10	2	0	1	0	272	265	264	0	0	0	1
Holy-Bible---Uyghur---Uyghur-Bible-Cyrillic	0	0	64	12	1	11	9	1	5	94	63	10	2	0	1	0	272	265	264	0	0	0	1
Holy-Bible---Uyghur---Uyghur-Bible-Latin	0	0	64	12	1	11	9	1	5	94	63	10	2	0	1	0	272	265	264	0	0	0	1
Holy-Bible---Uyghur---Uyghur-Bible-Pinyin	0	0	64	12	1	11	9	1	5	94	63	10	2	0	1	0	272	265	264	0	0	0	1
Holy-Bible---Vaagri-Booli---Vaagri-Booli-Bible	0	0	0	12	1	11	9	1	5	94	63	10	2	0	1	0	208	200	199	1	64	0	1
Holy-Bible---Vaghri---Vaghri-Bible	0	0	0	12	1	11	9	1	5	94	63	10	2	0	1	0	208	200	199	1	64	0	1
Holy-Bible---Vidunda---Vidunda-Bible	0	0	39	12	1	11	9	1	5	94	63	10	2	0	0	0	247	239	239	0	25	0	0
Holy-Bible---Vietnamese---Contemporary	144	4	64	12	1	11	9	1	5	94	63	10	2	0	1	4	272	265	264	0	0	0	1
Holy-Bible---Vietnamese---Vietnamese-Bible	139	0	64	12	1	11	9	1	5	94	63	10	2	0	0	0	272	264	264	0	0	0	0
Holy-Bible---Vietnamese---Vietnamese-Bible-1934	138	0	64	12	1	11	9	1	5	94	63	10	2	0	0	0	272	264	264	0	0	0	0
Holy-Bible---Vwanji---Vwanji-Bible	0	0	0	12	1	11	9	1	5	93	63	10	2	0	1	0	207	200	199	0	64	1	1
Holy-Bible---Waddar---Waddar-Bible	0	0	0	4	0	5	1	0	0	24	16	6	0	0	0	0	56	53	53	0	211	0	0
Holy-Bible---Waja---Waja-Bible	0	0	0	8	0	2	0	0	0	15	19	0	0	0	0	0	44	44	44	0	220	0	0
Holy-Bible---Wolio---Kitabi-Momangkilona-Bible	0	0	19	12	0	11	8	1	5	71	46	10	0	0	1	0	183	175	174	1	89	0	1
Holy-Bible---Yaka---Ivatan-Bible	0	0	0	12	1	11	9	1	5	94	63	10	2	0	0	0	208	200	200	0	64	0	0
Holy-Bible---Yaka---Yaka-Bible	0	0	0	12	1	7	2	0	0	71	55	10	1	0	0	0	159	154	154	0	110	0	0
Holy-Bible---Yalunka---Yalunka-Bible	0	0	64	12	1	11	9	1	5	94	63	10	2	0	0	0	272	264	264	0	0	0	0
Holy-Bible---Yamap---Yamap-Bible	0	0	0	11	0	4	1	0	0	16	9	6	0	0	0	0	47	44	44	0	220	0	0
Holy-Bible---Yansi---Yansi-Bible	0	0	0	12	1	11	9	1	5	94	63	10	2	0	0	0	208	200	200	0	64	0	0
Holy-Bible---Yemsa---Yemsa-Bible-Ethiopic	0	0	0	12	1	11	9	1	5	94	63	10	2	0	4	0	208	200	196	4	64	0	4
Holy-Bible---Yemsa---Yemsa-Bible-Latin	0	0	0	12	1	11	9	1	5	94	63	10	2	0	4	0	208	200	196	4	64	0	4
Holy-Bible---Yiddish-Eastern---Eastern-Yiddish-Bible	0	0	0	12	1	11	9	1	5	94	63	10	2	0	0	0	208	200	200	0	64	0	0
Holy-Bible---Yipunu---Punu-Bible	0	0	0	2	0	4	1	0	0	8	5	2	0	0	0	0	22	21	21	0	243	0	0
Holy-Bible---Yombe---Yombe-Bible	0	0	15	12	1	11	9	1	5	94	63	10	2	0	1	0	223	216	215	0	49	0	1
Holy-Bible---Yoruba---Yoruba-Bible	0	5	64	12	1	11	9	1	5	94	63	10	2	0	3	5	272	266	264	0	0	0	2
Holy-Bible---Zapotec-Loxicha---Loxicha-Zapotec-Bible	0	0	0	12	1	11	9	1	5	94	63	10	2	0	0	0	208	200	200	0	64	0	0
Holy-Bible---Zaramo---Kizalamo-Bible	0	0	0	12	1	11	9	1	5	94	63	10	2	0	0	0	208	200	200	0	64	0	0
Holy-Bible---Zinza---Zinza-Bible	0	0	0	12	1	11	9	1	5	94	63	10	2	0	2	0	208	200	198	2	64	0	2
