# File Name: UNTRANSLATECOUNT.txt
# File Size: 53448       
# File Date: 01/01/2026 19:06:43
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution 4.0 International, 2018-2026
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
#
BIBLE	HELL_ALL	HELL_OUT	SHEOL	GEHENNA	ELEESE	HADES	ABYSS	TARTARUS	LOF	AION	AIONIAN	AION-2	AIDIOS	AION_OUT	CUSTOM	OUT	IN	VERSE_DO	VERSE_OK	VERSE_SK	VERSE_NO	VERSE_ER	VERSE_CK
Holy-Bible---Myanmar---Burmese-Common-Bible	0	0	64	12	1	11	9	1	5	94	63	10	2	0	0	0	272	264	264	0	0	0	0
Holy-Bible---Myanmar---Burmese-Judson	0	0	64	12	1	11	9	1	5	94	63	10	2	0	15	0	272	272	264	0	0	0	8
Holy-Bible---Myanmar---Myanmar-Burmese-Judson	0	0	64	12	1	11	9	1	5	94	63	10	2	0	2	0	272	265	263	1	0	0	2
Holy-Bible---Naga-Pidgin---Nagamese-Bible	0	0	0	12	1	11	9	1	5	94	63	10	2	0	1	0	208	201	200	0	64	0	1
Holy-Bible---Naga-Tutsa---Tutsa-Naga-Bible	0	0	0	12	1	11	9	1	5	93	62	12	2	0	2	0	208	200	199	1	64	0	1
Holy-Bible---Ncane---Ncane-Bible	0	0	0	12	1	11	9	1	5	94	63	10	2	0	1	0	208	200	199	1	64	0	1
Holy-Bible---Ndebele---Accessible-Bible	0	3	64	12	1	11	9	1	5	94	63	10	2	0	0	3	272	264	264	0	0	0	0
Holy-Bible---Ndebele---Ndebele-Bible	0	0	64	12	1	11	9	1	5	94	63	10	2	0	1	0	272	265	264	0	0	0	1
Holy-Bible---Ndendeule---Ndendeule-Bible	0	0	0	12	1	11	9	1	5	94	63	10	2	0	0	0	208	200	200	0	64	0	0
Holy-Bible---Ndengereko---Ndengereko-Bible	0	0	0	12	1	11	9	1	5	94	63	10	2	0	1	0	208	201	200	0	64	0	1
Holy-Bible---Ndonde-Hamba---Ndonde-Hamba-Bible	0	0	0	7	0	2	0	0	0	8	5	0	0	0	0	0	22	22	22	0	242	0	0
Holy-Bible---Ndwewe---Ndwewe-Bible	0	0	0	12	1	11	9	1	5	94	63	10	2	0	0	0	208	200	200	0	64	0	0
Holy-Bible---Nend---Mark	0	0	0	3	0	0	0	0	0	2	1	4	0	0	0	0	10	8	8	0	256	0	0
Holy-Bible---Nepali---Nepali-Bible	0	0	64	12	1	11	9	1	5	94	63	10	2	0	0	0	272	264	264	0	0	0	0
Holy-Bible---Nepali---Nepali-Contemporary	0	3	64	12	1	11	9	1	5	94	63	10	2	0	0	3	272	264	264	0	0	0	0
Holy-Bible---Ngoni---Ngoni-Bible	0	0	0	12	1	11	9	1	5	94	63	10	2	0	1	0	208	201	200	0	64	0	1
