# File Name: UNTRANSLATEREVERSE.txt
# File Size: 11866416    
# File Date: 08/22/2026 15:09:21
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution 4.0 International, 2018-2026
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
#
BIBLE	INDEX	BOOK	CHAPTER	VERSE	INDEXX	BOOKX	CHAPTERX	VERSEX
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	012	033	040	MAT	012	029
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	012	034	040	MAT	012	030
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	012	035	040	MAT	012	031
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	012	036	040	MAT	012	032
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	012	037	040	MAT	012	033
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	012	038	040	MAT	012	034
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	012	039	040	MAT	012	035
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	012	040	040	MAT	012	036
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	012	041	040	MAT	012	037
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	012	042	040	MAT	012	038
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	012	043	040	MAT	012	039
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	012	044	040	MAT	012	040
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	012	045	040	MAT	012	041
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	012	046	040	MAT	012	042
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	012	047	040	MAT	012	043
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	012	048	040	MAT	012	044
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	012	049	040	MAT	012	045
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	012	050	040	MAT	012	046
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	016	003	040	MAT	016	002
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	016	004	040	MAT	016	003
Holy-Bible---Armenian---Armenian-Bible-Eastern	040	MAT	016	005	040	MAT	016	004
