BIBLE	NOSPACE	NOETERNAL	ETERNAL	NOHELL	YESHELL	SHEOL	GEHENNA	HADES	TARTARUS	ABYSS	LOF	END
Holy-Bible---Czech---Living-Bible	0		věčnost,věčného,věčný,věčných,věčná,věčnému,věčným,věčnou,věčné,věky,věku,věka,věků,věkové,světě,světa,světu,svět	pekelný,pekelného,pekelném,pekelné,pekla,pekle,peklo	zatracení,pekelný,pekelného,pekelném,pekelné,pekla,pekle,peklo	zatracení,pekelný,pekelného,pekelném,pekelné,pekla,pekle,peklo,hrobu,hrobě,hrob,Odkryta,smrti,smrt,zahynutí,zakopali	zatracení,pekelný,pekelného,pekelném,pekelné,pekla,pekle,peklo	zatracení,pekelný,pekelného,pekelném,pekelné,pekla,pekle,peklo,hrobu,hrobě,hrob,Odkryta,smrti,smrt,zahynutí,zakopali	žaláře	propasti	jezera ohnivého, jezera ohně,jezeře, kteréž hoří ohněm	NULL
Holy-Bible---Danish---Danish-1871-1907	0			helvede,helvedes								NULL
Holy-Bible---Danish---Danish-1931-1907	0			helvede,helvedes								NULL
Holy-Bible---Danish---Danish-Bible	0			helvede,helvedes								NULL
Holy-Bible---Dawro---Dawuro-Bible	0											NULL
Holy-Bible---Desiya---Desiya-Bible	0											NULL
Holy-Bible---Dhanki---Dhanki-Devanagari-Bible	0											NULL
Holy-Bible---Dholuo---Dholuo-Bible	0											NULL
Holy-Bible---Dombe---Dombe-Bible	0											NULL
Holy-Bible---Dongxiang---Donxian-Bible	0											NULL
Holy-Bible---Dutch---Canisiusvertaling	0			helse,hel								NULL
Holy-Bible---Dutch---Leuvense-Bible	0			helse,hel								NULL
Holy-Bible---Dutch---Schrift	0			helse,hel								NULL
Holy-Bible---Dutch---Statenvertaling	0			helse,hel								NULL
Holy-Bible---Duya---Duya-Bible	0											NULL
Holy-Bible---Ekajuk---Ekajuk-Bible	0											NULL
Holy-Bible---English---A-Conservative-Version	0		eternity,eternal,forever,everlasting,evermore,and ever,for ever,always,immortal,age-during,age,ages,of old,world,worlds,long ago,universe,this life,earliest times,all the years,life without end,last days,present order,time to come,from the first,all times,the true,present life,order of the generations,last day,coming time,order of events,cares of life,since time was,time began,lasting,from the very first,only true,for all time,everliving,forevermore,truly life	hell	hell,sheol,gehenna,gehinnom,hades,abyss,bottomless pit,depths below,tartarus,lake of fire,lake that burns with fire	hell,sheol,hades,grave's,the grave,underworld,place of the dead,depth of the pit,the deepest pit,into the pit,bars of the pit,alive into the pit,lowest pit	hell,gehenna,gehinnom,underworld	hell,hades,underworld,grave's,grave,sheol	hell,tartarus,the deepest pit of gloom	abyss,the deep,great deep,bottomless pit,the pit,depths below	lake of fire,lake that burns with fire,lake that burneth with fire,sea of ever-burning fire,sea of fire,lake which burns with fire,pool of fire,pool burning with fire,lake which burneth with fire	NULL
Holy-Bible---English---Aionian-Bible	0		eternity,eternal,forever,everlasting,evermore,and ever,for ever,always,immortal,age-during,age,ages,of old,world,worlds,long ago,universe,this life,earliest times,all the years,life without end,last days,present order,time to come,from the first,all times,the true,present life,order of the generations,last day,coming time,order of events,cares of life,since time was,time began,lasting,from the very first,only true,for all time,everliving,forevermore,truly life	hell	hell,sheol,gehenna,gehinnom,hades,abyss,bottomless pit,depths below,tartarus,lake of fire,lake that burns with fire	hell,sheol,hades,grave's,the grave,underworld,place of the dead,depth of the pit,the deepest pit,into the pit,bars of the pit,alive into the pit,lowest pit	hell,gehenna,gehinnom,underworld	hell,hades,underworld,grave's,grave,sheol	hell,tartarus,the deepest pit of gloom	abyss,the deep,great deep,bottomless pit,the pit,depths below	lake of fire,lake that burns with fire,lake that burneth with fire,sea of ever-burning fire,sea of fire,lake which burns with fire,pool of fire,pool burning with fire,lake which burneth with fire	NULL
Holy-Bible---English---American-Standard-Version-1901	0	eternity,eternal,forever,everlasting,for ever and ever,for every and ever	eternity,eternal,forever,everlasting,evermore,and ever,for ever,always,immortal,age-during,age,ages,of old,world,worlds,long ago,universe,this life,earliest times,all the years,life without end,last days,present order,time to come,from the first,all times,the true,present life,order of the generations,last day,coming time,order of events,cares of life,since time was,time began,lasting,from the very first,only true,for all time,everliving,forevermore,truly life	hell	hell,sheol,gehenna,gehinnom,hades,abyss,bottomless pit,depths below,tartarus,lake of fire,lake that burns with fire	hell,sheol,hades,grave's,the grave,underworld,place of the dead,depth of the pit,the deepest pit,into the pit,bars of the pit,alive into the pit,lowest pit	hell,gehenna,gehinnom,underworld	hell,hades,underworld,grave's,grave,sheol	hell,tartarus,the deepest pit of gloom	abyss,the deep,great deep,bottomless pit,the pit,depths below	lake of fire,lake that burns with fire,lake that burneth with fire,sea of ever-burning fire,sea of fire,lake which burns with fire,pool of fire,pool burning with fire,lake which burneth with fire	NULL
Holy-Bible---English---Anderson-Bible	0		eternity,eternal,forever,everlasting,evermore,and ever,for ever,always,immortal,age-during,age,ages,of old,world,worlds,long ago,universe,this life,earliest times,all the years,life without end,last days,present order,time to come,from the first,all times,the true,present life,order of the generations,last day,coming time,order of events,cares of life,since time was,time began,lasting,from the very first,only true,for all time,everliving,forevermore,truly life	hell	hell,sheol,gehenna,gehinnom,hades,abyss,bottomless pit,depths below,tartarus,lake of fire,lake that burns with fire	hell,sheol,hades,grave's,the grave,underworld,place of the dead,depth of the pit,the deepest pit,into the pit,bars of the pit,alive into the pit,lowest pit	hell,gehenna,gehinnom,underworld	hell,hades,underworld,grave's,grave,sheol	hell,tartarus,the deepest pit of gloom	abyss,the deep,great deep,bottomless pit,the pit,depths below	lake of fire,lake that burns with fire,lake that burneth with fire,sea of ever-burning fire,sea of fire,lake which burns with fire,pool of fire,pool burning with fire,lake which burneth with fire	NULL
